,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
1848,陆家嘴世纪金融广场（...,浦东-临港新城- 一期锦康路252号..., 纯写字楼(甲级), , 1, 32元/m²•月,8.11元/m²•天,,浦东,临港新城,浦东 临港新城 陆家嘴世纪金融广场（...,31.2417068481,121.489730835
1849,上海新天地时尚广场,卢湾-淮海路/新天地- 马当路245号, 纯写字楼(甲级), , , ,,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 上海新天地时尚广场,31.2259025574,121.481155396
1850,悦达889广场,静安-曹家渡- 万航渡路889号, 纯写字楼(甲级), 2009 7, 32, 30元/m²•月,6.08元/m²•天,,静安,曹家渡,静安 曹家渡 悦达889广场,31.235786438,121.435043335
1851,高阳大楼,虹口-北外滩- 高阳路255弄, 商业综合体楼(丙级), 1918 1, 5, 15元/m²•月,3.18元/m²•天,,虹口,北外滩,虹口 北外滩 高阳大楼,31.2567195892,121.511138916
1852,太仓国际物流城,上海周边-太仓- 339省道与204国道交叉口, 纯写字楼(甲级), , 4, 5元/m²•月,,,上海周边,太仓,上海周边 太仓 太仓国际物流城,31.4610652924,121.087028503
1853,海鸥康恒大厦,闸北-闸北公园- 共和新路288号, 纯写字楼(乙级), 1998 6, 15, 3.5元/m²•月,,,闸北,闸北公园,闸北 闸北公园 海鸥康恒大厦,31.253572464,121.468826294
1854,乐凯大厦,浦东-八佰伴- 商城路660号, 商业综合体楼(乙级), 1996 4, 30, 18.7元/m²•月,4.56元/m²•天,21800元/m²,浦东,八佰伴,浦东 八佰伴 乐凯大厦,31.2362232208,121.525283813
1855,上海保利广场,浦东-陆家嘴- 东方路2号, 纯写字楼(甲级), 2009 2, 30, 31元/m²•月,8.11元/m²•天,,浦东,陆家嘴,浦东 陆家嘴 上海保利广场,30.8843860626,121.40864563
1856,松江漕河泾,松江-九亭- 松江区莘砖公路518号, 纯写字楼(甲级), , 0, 2.8元/m²•月,1.52元/m²•天,,松江,九亭,松江 九亭 松江漕河泾,31.1349163055,121.334281921
1857,中虹新卉购物中心,上海周边-桐乡- 桐乡余行路与庆丰中路交汇, 纯写字楼(甲级), , , ,,,上海周边,桐乡,上海周边 桐乡 中虹新卉购物中心,30.6394672394,120.560020447
1858,文通东外滩中心,杨浦-平凉/杨浦外滩- 平凉路2313号, 纯写字楼(甲级), 2017 1, 6, 28元/m²•月,4.06元/m²•天,,杨浦,平凉/杨浦外滩,杨浦 平凉/杨浦外滩 文通东外滩中心,31.2407398224,121.506111145
1859,格林德必易园,普陀-中山北路- 中山北路1238号, 纯写字楼(甲级), 2017 10, 4, 10.9元/m²•月,,,普陀,中山北路,普陀 中山北路 格林德必易园,31.2730827332,121.403892517
1860,静安紫苑,静安-南京西路- 江宁路356弄, 纯写字楼(甲级), 2009 03, 29, 8元/m²•月,null,,静安,南京西路,静安 南京西路 静安紫苑,31.2402820587,121.459541321
1861,新紫茂国际,浦东-金桥开发区- 巨峰路1058弄, 纯写字楼(甲级), , 13, 5.8元/m²•月,null,,浦东,金桥开发区,浦东 金桥开发区 新紫茂国际,31.2520370483,121.631591797
1862,华能联合大厦,浦东-陆家嘴- 银城东路139号, 纯写字楼(甲级), 1997 6, 38, 21元/m²•月,6.69元/m²•天,,浦东,陆家嘴,浦东 陆家嘴 华能联合大厦,31.2449188232,121.514572144
1863,裕景国际商务广场A座,浦东-陆家嘴- 浦东大道555号, 纯写字楼(甲级), 2005 8, 40, 28元/m²•月,5.68元/m²•天,29000元/m²,浦东,陆家嘴,浦东 陆家嘴 裕景国际商务广场A座,31.2469215393,121.526519775
1864,华辰金融大厦,浦东-陆家嘴- 浦东大道900号, 纯写字楼(甲级), 2006 8, 25, 28元/m²•月,6元/m²•天,,浦东,陆家嘴,浦东 陆家嘴 华辰金融大厦,31.2466983795,121.5366745
1865,上海陇盛科技大楼,闵行-春申/老闵行- 春申路1955号, 纯写字楼(甲级), , 11, 10元/m²•月,2.43元/m²•天,,闵行,春申/老闵行,闵行 春申/老闵行 上海陇盛科技大楼,31.218963623,121.402427673
1866,万事利大厦,黄浦-老西门- 陆家浜路1378号, 纯写字楼(甲级), 2003 2, 27, 20元/m²•月,3.04元/m²•天,15999元/m²,黄浦,老西门,黄浦 老西门 万事利大厦,31.216878891,121.489738464
1867,永惠商务楼,黄浦-老西门- 西藏南路777号, 纯写字楼(乙级), 1997 3, 22, 1.4元/m²•月,,,黄浦,老西门,黄浦 老西门 永惠商务楼,31.2218360901,121.491531372
1868,时代大厦,长宁-延安西路- 番禺路390号, 纯写字楼(乙级), 1998 5, 22, 6元/m²•月,2.33元/m²•天,18000元/m²,长宁,延安西路,长宁 延安西路 时代大厦,31.2102451324,121.436203003
1869,联通国际大厦,闸北-火车站- 天目西路547号, 纯写字楼(甲级), 1997 12, 27, 19元/m²•月,3.55元/m²•天,22000元/m²,闸北,火车站,闸北 火车站 联通国际大厦,31.252248764,121.456245422
1870,绿地汇中心,徐汇-龙华- 云锦路500号, 纯写字楼(甲级), 2013 12, 20, 27元/m²•月,5.07元/m²•天,,徐汇,龙华,徐汇 龙华 绿地汇中心,31.1711044312,121.464393616
1871,星月金融湾,浦东-北蔡/塘桥- 浦东新区北蔡镇罗山路4088弄, 纯写字楼(甲级), , , ,null,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 星月金融湾,30.8843860626,121.40864563
1872,游站,青浦-青浦- 花桥国际商务绿地大道, 商业综合体楼(甲级), 2013 01, 20, 6.8元/m²•月,,,青浦,青浦,青浦 青浦 游站,31.1308612823,121.091423035
1873,美恒大厦,闵行-虹桥镇- 吴中路369号, 纯写字楼(甲级), 2010 6, 21, 22元/m²•月,,,闵行,虹桥镇,闵行 虹桥镇 美恒大厦,31.1920127869,121.419052124
1874,诚品商务中心,徐汇-徐家汇- 南丹路191号, 综合写字楼(甲级), 2005 2, 4, 2元/m²•月,,,徐汇,徐家汇,徐汇 徐家汇 诚品商务中心,31.1962680817,121.438171387
1875,碧云中心,浦东-金桥开发区- 张杨路3918号, 纯写字楼(甲级), 2015 6, 15, 12.7元/m²•月,4.56元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 碧云中心,31.2581615448,121.607795715
1876,华鼎大厦,徐汇-万体馆- 中山西路2368号, 纯写字楼(甲级), 2004 5, 29, 8.5元/m²•月,3.55元/m²•天,16000元/m²,徐汇,万体馆,徐汇 万体馆 华鼎大厦,31.1865253448,121.438476562
1877,万福财富中心,青浦-青浦- 青湖路988号, 纯写字楼(甲级), , , ,,,青浦,青浦,青浦 青浦 万福财富中心,31.1516685486,121.137496948
1878,永升大厦,徐汇-万体馆- 中山西路2025号, 纯写字楼(甲级), 2004 4, 26, 20元/m²•月,4.28元/m²•天,,徐汇,万体馆,徐汇 万体馆 永升大厦,31.1890869141,121.434295654
1879,金钟广场,卢湾-淮海路/新天地- 淮海中路98号, 纯写字楼(甲级), 1999 10, 45, 28元/m²•月,6.9元/m²•天,38568元/m²,卢湾,淮海路/新天地,卢湾 淮海路/新天地 金钟广场,31.2314968109,121.485649109
1880,中信广场,虹口-四川北路- 四川北路859号, 商业综合体楼(甲级), 2011 6, 55, 36元/m²•月,6.08元/m²•天,,虹口,四川北路,虹口 四川北路 中信广场,31.2544212341,121.491271973
1881,沃尔玛商业购物广场,嘉定-江桥- 曹安路1288号, (甲级), 2007 5, 8, 36元/m²•月,,,嘉定,江桥,嘉定 江桥 沃尔玛商业购物广场,31.2661094666,121.353401184
1882,优联创意公社,静安-静安寺- 静安区武定路1019号, 纯写字楼(甲级), , , ,,,静安,静安寺,静安 静安寺 优联创意公社,31.2363071442,121.44947052
1883,建爱大厦,闸北-火车站- 长阳路8号, 纯写字楼(甲级), 2006 1, 27, 1.7元/m²•月,,,闸北,火车站,闸北 火车站 建爱大厦,31.2880439758,121.457771301
1884,中创大厦,静安-南京西路- 南京西路819号, 纯写字楼(乙级), 1997 8, 22, 30元/m²•月,6.29元/m²•天,,静安,南京西路,静安 南京西路 中创大厦,31.2366714478,121.467651367
1885,凯润金城,虹口-四川北路- 东宝兴路258弄1～3号, 纯写字楼(乙级), 2006 1, 17, 14.5元/m²•月,null,,虹口,四川北路,虹口 四川北路 凯润金城,31.2631416321,121.488853455
1886,羊和大厦,浦东-浦东外环- 沪南公路9199号, 纯写字楼(甲级), 2006 8, 14, 2元/m²•月,,,浦东,浦东外环,浦东 浦东外环 羊和大厦,30.8843860626,121.40864563
1887,海棠大厦,闸北-大宁绿地- 江场西路299弄, 纯写字楼(甲级), 2011 12, 16, 13.5元/m²•月,2.32元/m²•天,,闸北,大宁绿地,闸北 大宁绿地 海棠大厦,31.3037281036,121.448295593
1888,城市机场航站楼,静安-静安寺- 南京西路1600号., 纯写字楼(乙级), 2001 12, 30, 27.3元/m²•月,6.08元/m²•天,,静安,静安寺,静安 静安寺 城市机场航站楼,31.2297477722,121.451797485
1889,海博大厦,浦东-上南地区- 南码头路101号, 酒店写字楼(乙级), 2005 6, 24, 5.5元/m²•月,,,浦东,上南地区,浦东 上南地区 海博大厦,31.182264328,121.503608704
1890,永银大厦,卢湾-淮海路/新天地- 西藏南路218号, 纯写字楼(乙级), 2001 11, 28, 33元/m²•月,7.23元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 永银大厦,31.2302761078,121.486618042
1891,上海021大厦,黄浦-人民广场- 淞滨路600号, 纯写字楼(甲级), , 0, 33元/m²•月,,,黄浦,人民广场,黄浦 人民广场 上海021大厦,31.2360095978,121.478942871
