,Unnamed: 0,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
890,893,M50创意园,普陀-长寿路- 莫干山路50号, 纯写字楼(乙级), 2010 6, 3, 12元/m²•月,3.55元/m²•天,,普陀,长寿路,普陀 长寿路 M50创意园,31.253950119,121.455070496
892,895,岛里创新园,宝山-上海大学- 沪太路1861弄39号, 纯写字楼(甲级), 2017 3, 4, 15元/m²•月,2.75元/m²•天,,宝山,上海大学,宝山 上海大学 岛里创新园,31.3213233948,121.400016785
894,897,空间188,虹口-凉城路/虹口足球场- 东江湾路188号, 纯写字楼(乙级), 2005 11, 12, 30元/m²•月,3.33元/m²•天,,虹口,凉城路/虹口足球场,虹口 凉城路/虹口足球场 空间188,31.2772426605,121.48714447
895,898,华纳商务中心,徐汇-漕河泾- 莲花路1733号, 纯写字楼(甲级), 2007 12, 7, 15元/m²•月,4.06元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 华纳商务中心,31.1756000519,121.396400452
897,900,八方大厦,浦东-世纪公园- 张杨路1551号, 纯写字楼(丙级), 1999 6, 26, 6元/m²•月,3.55元/m²•天,,浦东,世纪公园,浦东 世纪公园 八方大厦,31.2227668762,121.559333801
898,901,永丰国际广场,徐汇-衡山路/肇嘉浜- 宛平南路88号, 纯写字楼(甲级), , 0, 30元/m²•月,7.48元/m²•天,,徐汇,衡山路/肇嘉浜,徐汇 衡山路/肇嘉浜 永丰国际广场,31.2016716003,121.448776245
899,902,泰创空间,浦东-张江高科- 金科路2889弄10座, 纯写字楼(甲级), 2014 06, 3, 3.2元/m²•月,4.06元/m²•天,,浦东,张江高科,浦东 张江高科 泰创空间,30.8843860626,121.40864563
903,906,仲益大厦,静安-南京西路- 南京西路580号, 纯写字楼(甲级), 2012 6, 40, 15元/m²•月,5.58元/m²•天,,静安,南京西路,静安 南京西路 仲益大厦,31.2370948792,121.472572327
904,907,新城市中心广场,普陀-真如- 铜川路70号, 纯写字楼(甲级), 2009 12, 28, 18元/m²•月,4.56元/m²•天,,普陀,真如,普陀 真如 新城市中心广场,31.2526092529,121.40864563
905,908,长江软件园,宝山-共康- 长江南路180号, 纯写字楼(甲级), 2012 12, 6, 6元/m²•月,2.74元/m²•天,,宝山,共康,宝山 共康 长江软件园,31.338848114,121.490684509
906,909,安垦创意园,静安-江宁路- 淮安路668号, 纯写字楼(乙级), , 6, 18元/m²•月,5.68元/m²•天,,静安,江宁路,静安 江宁路 安垦创意园,31.2466697693,121.458068848
909,912,新虹桥大厦,长宁-天山路- 上海长宁区娄山关路55号, 纯写字楼(乙级), 1989 7, 23, 30元/m²•月,4.56元/m²•天,25000元/m²,长宁,天山路,长宁 天山路 新虹桥大厦,31.2095375061,121.40901947
910,913,越洋国际广场,黄浦-南京东路- 上海市南京西路1601号, 纯写字楼(甲级), 2015 10, 43, 12.5元/m²•月,10.14元/m²•天,,黄浦,南京东路,黄浦 南京东路 越洋国际广场,31.2428665161,121.490226746
911,914,华林大楼,徐汇-万体馆- 漕溪路190号, 纯写字楼(乙级), 1994 5, 12, 3元/m²•月,2.54元/m²•天,,徐汇,万体馆,徐汇 万体馆 华林大楼,31.1804428101,121.441184998
914,917,虹桥临空工贸小区,长宁-北新泾- 协和路787号, 纯写字楼(乙级), , 6, 4元/m²•月,2.84元/m²•天,,长宁,北新泾,长宁 北新泾 虹桥临空工贸小区,31.2226085663,121.378494263
915,918,汤臣国贸大厦,浦东-外高桥- 外高桥保税区基隆路1号, 纯写字楼(甲级), , 28, 15元/m²•月,1.52元/m²•天,,浦东,外高桥,浦东 外高桥 汤臣国贸大厦,31.3557186127,121.594154358
916,919,日月光中心,卢湾-打浦桥- 瑞金二路450号, 纯写字楼(甲级), 2011 12, 34, 30元/m²•月,4.06元/m²•天,,卢湾,打浦桥,卢湾 打浦桥 日月光中心,31.2123298645,121.474983215
917,920,华盛大厦,黄浦-南京东路- 九江路399号, 纯写字楼(甲级), 1998 5, 26, 31元/m²•月,5.98元/m²•天,,黄浦,南京东路,黄浦 南京东路 华盛大厦,31.2400550842,121.473274231
918,921,晨讯科技大楼,长宁-虹桥临空经济园区- 金钟路633号, 纯写字楼(甲级), 2008 6, 7, 24元/m²•月,3.85元/m²•天,,长宁,虹桥临空经济园区,长宁 虹桥临空经济园区 晨讯科技大楼,31.2258796692,121.366035461
920,923,港陆黄浦中心,黄浦-人民广场- 六合路98号, 纯写字楼(甲级), 2003 1, 22, 37.4元/m²•月,3.4元/m²•天,25689元/m²,黄浦,人民广场,黄浦 人民广场 港陆黄浦中心,31.2425746918,121.481506348
921,924,东方慧谷/文化信息产业中心,嘉定-嘉定城区- 宝安公路2999号, 纯写字楼(甲级), 2013 6, 12, 3.5元/m²•月,1.52元/m²•天,16500元/m²,嘉定,嘉定城区,嘉定 嘉定城区 东方慧谷/文化信息产业中心,31.3387107849,121.29826355
922,925,新富港中心,卢湾-打浦桥- 蒙自路763号(靠近内环高架路), 纯写字楼(甲级), 2010 12, 39, 30元/m²•月,6.29元/m²•天,,卢湾,打浦桥,卢湾 打浦桥 新富港中心,31.2024497986,121.48915863
923,926,云都虹桥大厦,长宁-虹桥开发区- 中山西路930号, 纯写字楼(丙级), 2000 7, 18, 6.8元/m²•月,3.14元/m²•天,23000元/m²,长宁,虹桥开发区,长宁 虹桥开发区 云都虹桥大厦,31.2063865662,121.419120789
925,928,尚光徐汇中心,徐汇-徐家汇- 徐汇区宜山路407, 纯写字楼(甲级), 2016 , 18, 12元/m²•月,6.06元/m²•天,,徐汇,徐家汇,徐汇 徐家汇 尚光徐汇中心,31.1924781799,121.436134338
928,931,华融国际大厦,长宁-延安西路- 延安西路1448弄1号, 纯写字楼(丙级), 2004 11, 8, 24元/m²•月,3.85元/m²•天,29800元/m²,长宁,延安西路,长宁 延安西路 华融国际大厦,31.2150688171,121.429290771
932,935,长久大厦,普陀-长寿路- 胶州路959号(长寿路口), 纯写字楼(乙级), 1999 8, 25, 30元/m²•月,2.74元/m²•天,18023元/m²,普陀,长寿路,普陀 长寿路 长久大厦,31.2438220978,121.442596436
933,936,宝矿洲际商务中心,闸北-火车站- 裕通路100号, 纯写字楼(甲级), , 0, 29元/m²•月,6.9元/m²•天,,闸北,火车站,闸北 火车站 宝矿洲际商务中心,31.2511634827,121.459907532
934,937,高尚领域,普陀-真如- 曹阳路1518号, 纯写字楼(甲级), , 33, 6元/m²•月,2.25元/m²•天,40000元/m²,普陀,真如,普陀 真如 高尚领域,31.2526092529,121.40864563
935,938,青年城9号公馆,松江-九亭- 松江沪松公路1399弄, 纯写字楼(甲级), , , ,2.23元/m²•天,21000元/m²,松江,九亭,松江 九亭 青年城9号公馆,31.14336586,121.326133728
937,940,上海月星环球港,普陀-曹杨- 中山北路3222号, 纯写字楼(甲级), 2013 12, 45, 30元/m²•月,8.02元/m²•天,,普陀,曹杨,普陀 曹杨 上海月星环球港,31.2395133972,121.419166565
939,942,张江创新园,浦东-张江高科- 科苑路399号, 纯写字楼(甲级), 2005 7, 24, 8元/m²•月,4.26元/m²•天,,浦东,张江高科,浦东 张江高科 张江创新园,31.2109775543,121.597755432
943,946,华夏银行大厦,浦东-陆家嘴- 浦东南路256号, 纯写字楼(甲级), 2004 4, 39, 25元/m²•月,6.08元/m²•天,46000元/m²,浦东,陆家嘴,浦东 陆家嘴 华夏银行大厦,31.2454872131,121.515304565
945,948,先锋大厦,闵行-七宝- 虹井路225号, 纯写字楼(甲级), , 0, 12元/m²•月,3.35元/m²•天,,闵行,七宝,闵行 七宝 先锋大厦,31.181684494,121.376831055
946,949,东方海港国际大厦,虹口-北外滩- 东大名路1080-1082号, 纯写字楼(甲级), 2011 7, 30, 31元/m²•月,2.02元/m²•天,,虹口-北外滩, 东大名路1080,虹口-北外滩  东大名路1080 东方海港国际大厦,31.2569484711,121.515388489
947,950,大宁国际广场10号楼,闸北-大宁绿地- 共和新路1968-2008号, 商业综合体楼(甲级), 2006 6, 13, 12元/m²•月,5.78元/m²•天,,闸北-大宁绿地, 共和新路1968,闸北-大宁绿地  共和新路1968 大宁国际广场10号楼,31.2813587189,121.459014893
950,953,葛洲坝大厦西楼,浦东-竹园商贸区- 浦电路577号, 纯写字楼(甲级), 2011 6, 5, 30元/m²•月,9.53元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 葛洲坝大厦西楼,31.231338501,121.543693542
951,954,强生大厦,浦东-北蔡/塘桥- 浦建路145号, 纯写字楼(乙级), 1999 10, 37, 22元/m²•月,3.85元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 强生大厦,31.2147312164,121.529167175
954,957,金环商务花园,普陀-长风商务区- 金沙江路1959号, 纯写字楼(甲级), 2012 3, 9, 13元/m²•月,3.57元/m²•天,,普陀,长风商务区,普陀 长风商务区 金环商务花园,31.2393264771,121.379852295
956,959,鸿运大厦,普陀-曹杨- 武宁路501-503号, 纯写字楼(乙级), 2001 3, 31, 21元/m²•月,3.03元/m²•天,,普陀-曹杨, 武宁路501,普陀-曹杨  武宁路501 鸿运大厦,31.2497787476,121.422134399
957,960,汇通大厦,黄浦-南京东路- 金陵东路569号, 纯写字楼(乙级), , 18, 24元/m²•月,3.47元/m²•天,,黄浦,南京东路,黄浦 南京东路 汇通大厦,31.2326068878,121.487197876
958,961,智云商务中心,静安-曹家渡- 康定路1437号3层, 纯写字楼(甲级), , 5, 15元/m²•月,2.22元/m²•天,,静安,曹家渡,静安 曹家渡 智云商务中心,31.2353096008,121.437423706
960,963,中国人保寿险大厦,黄浦-外滩- 福佑路8号, 纯写字楼(甲级), , 15, 30元/m²•月,6.84元/m²•天,,黄浦,外滩,黄浦 外滩 中国人保寿险大厦,31.2332210541,121.501991272
961,964,上海国峰科技大厦,徐汇-万体馆- 中山西路1279号6号, 纯写字楼(乙级), 2001 4, 13, 16元/m²•月,3.55元/m²•天,,徐汇,万体馆,徐汇 万体馆 上海国峰科技大厦,31.1982574463,121.427177429
963,966,金融街海伦中心,虹口-北外滩- 虹口区四平路96号, 纯写字楼(甲级), , , ,6.08元/m²•天,,虹口,北外滩,虹口 北外滩 金融街海伦中心,31.2642841339,121.495674133
966,969,云海大厦,徐汇-淮海西路- 上海淮海中路1333号, 纯写字楼(乙级), 1998 10, 24, 25元/m²•月,2.94元/m²•天,,徐汇,淮海西路,徐汇 淮海西路 云海大厦,31.2181034088,121.455909729
967,970,骏利财富大厦,宝山-共康- 共和新路5199号, 纯写字楼(乙级), 2009 7, 22, 6元/m²•月,2.94元/m²•天,,宝山,共康,宝山 共康 骏利财富大厦,31.3319072723,121.451774597
969,972,中友大厦,普陀-曹杨- 曹杨路1040弄, 纯写字楼(乙级), 2004 2, 28, 3.5元/m²•月,2.53元/m²•天,,普陀,曹杨,普陀 曹杨 中友大厦,31.251209259,121.415992737
970,973,共和大厦,闸北-闸北公园- 共和新路938号, 纯写字楼(乙级), 2005 3, 24, 3元/m²•月,2.04元/m²•天,26600元/m²,闸北,闸北公园,闸北 闸北公园 共和大厦,31.2652816772,121.468513489
971,974,徐家汇国际,徐汇-徐家汇- 肇嘉浜路1033号, 纯写字楼(甲级), 2005 1, 19, 28元/m²•月,5.88元/m²•天,,徐汇,徐家汇,徐汇 徐家汇 徐家汇国际,31.2002086639,121.443481445
