,name,age,floors,rent,type_jia, type_yi,type_bing,Shanghai,LuWan,JiaDing,FengXian,BaoShan,XuHui,PuTuo,YangPu,SongJiang,PuDong,HongKou,jinjiao,ChangNing,MinHang,ZhaBei,QingPu,JingAn,HuangPu,hotel,hospital,mall,park1500,store,underground,POIs
48,慧创国际,10.0,10.0,2.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,0.0,3.0,8.0,0.0,24
49,鑫桥创意园,,5.0,4.06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0.0,1.0,1.0,0.0,24
50,静安创展中心,11.0,11.0,3.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76.0,4.0,2.0,5.0,38.0,2.0,27
51,泰德科技园,2.0,11.0,2.33,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,0.0,13.0,1.0,25
52,力宝广场,19.0,39.0,7.91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,8.0,17.0,16.0,20.0,3.0,27
53,复旦创业中心大厦二期,9.0,24.0,2.94,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31.0,4.0,9.0,5.0,21.0,2.0,27
54,上海科技京城大厦西座,20.0,31.0,3.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109.0,2.0,12.0,6.0,56.0,0.0,26
55,开开广场,20.0,30.0,3.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59.0,4.0,7.0,2.0,27.0,2.0,27
56,汇鑫国际大厦,8.0,22.0,4.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.0,5.0,3.0,7.0,19.0,2.0,27
57,佳预信息科技大厦,7.0,10.0,3.04,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0,0.0,0.0,1.0,5.0,0.0,24
58,东方国际科技大厦,,20.0,4.56,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39.0,0.0,0.0,5.0,24.0,2.0,25
59,绿地和创大厦,11.0,25.0,4.66,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.0,3.0,6.0,5.0,36.0,3.0,27
