,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,mean_rent
836,世纪商务大厦,3,13.0,30.0,3.04,49.0,7.0,5.0,3.0,28.0,2.0,7,8.97
837,互联宝地,3,1.0,5.0,3.85,6.0,0.0,0.0,7.0,21.0,2.0,5,3.1
838,北岸长风,3,9.0,19.0,3.9,0.0,1.0,1.0,8.0,8.0,0.0,5,4.85
839,上海利通广场,3,6.0,26.0,5.58,7.0,13.0,19.0,10.0,59.0,1.0,7,
840,近铁虹桥中心,3,,,4.57,15.0,3.0,3.0,2.0,8.0,0.0,6,4.04
841,汇京国际广场,3,5.0,24.0,6.13,26.0,49.0,2.0,6.0,27.0,2.0,7,
842,金轩大厦,3,17.0,28.0,3.35,71.0,4.0,5.0,5.0,24.0,1.0,7,4.5
843,致永大厦,3,,,1.32,0.0,0.0,0.0,0.0,3.0,0.0,2,2.76
844,华润时代广场,3,113.0,35.0,7.61,4.0,6.0,0.0,6.0,26.0,1.0,6,3.0
845,华富大厦,2,,22.0,1.33,8.0,3.0,0.0,4.0,13.0,4.0,6,
846,中天大厦,3,,,4.06,19.0,5.0,3.0,12.0,21.0,1.0,7,4.3
847,南方国际广场,2,,,2.23,8.0,0.0,6.0,2.0,7.0,0.0,5,4.86
848,宝安大厦,3,18.0,38.0,5.07,44.0,8.0,0.0,4.0,21.0,1.0,6,2.8
849,万象城,3,,,6.63,6.0,2.0,2.0,1.0,18.0,1.0,7,1.8
850,英雄大厦,1,21.0,26.0,2.84,21.0,2.0,4.0,7.0,20.0,1.0,7,
851,信源张江广场,3,,4.0,3.75,0.0,1.0,0.0,1.0,3.0,0.0,4,
852,东辰大厦,3,23.0,24.0,3.24,30.0,1.0,0.0,9.0,11.0,0.0,5,2.8
853,陆家嘴基金大厦,3,7.0,17.0,7.91,4.0,0.0,0.0,6.0,19.0,2.0,5,3.73
854,中铝大厦,3,2.0,11.0,6.08,0.0,0.0,0.0,6.0,2.0,1.0,4,4.3
855,开开大厦,2,20.0,30.0,3.66,41.0,4.0,8.0,2.0,27.0,2.0,7,3.8
856,复旦科技园大厦,2,12.0,25.0,3.55,12.0,0.0,0.0,6.0,11.0,1.0,5,
857,华晔创意园,3,22.0,6.0,4.06,17.0,0.0,2.0,4.0,17.0,1.0,6,2.33
858,中外运大厦,2,19.0,33.0,5.07,169.0,13.0,25.0,12.0,89.0,1.0,7,4.6
859,红墙创意园,2,9.0,6.0,3.24,13.0,2.0,3.0,1.0,17.0,0.0,6,
860,新宝中心,3,,,2.64,11.0,0.0,0.0,1.0,5.0,0.0,4,
861,中国华电,3,3.0,23.0,6.08,3.0,0.0,1.0,6.0,8.0,1.0,6,2.93
862,陆家嘴金融街区,3,1.0,12.0,8.11,1.0,0.0,0.0,20.0,12.0,0.0,4,2.92
863,中航天盛广场,3,,,5.58,9.0,3.0,1.0,0.0,7.0,2.0,6,2.3
864,凯兴大楼,3,24.0,3.0,1.32,6.0,0.0,1.0,0.0,10.0,0.0,4,4.78
865,龙湖虹桥天街,3,4.0,3.0,4.06,1.0,0.0,3.0,0.0,5.0,0.0,4,
866,裕景国际大厦,3,12.0,30.0,5.58,54.0,4.0,0.0,2.0,28.0,2.0,6,
867,上海意大利中心,3,,,4.56,0.0,0.0,0.0,5.0,1.0,0.0,3,
868,智汇产业园,3,,6.0,3.55,29.0,9.0,3.0,9.0,26.0,1.0,7,6.5
869,中冶祥腾城市广场·菁英逸品,2,7.0,25.0,2.44,0.0,1.0,4.0,6.0,3.0,2.0,6,6.44
870,东泰大厦,2,19.0,27.0,2.84,70.0,5.0,3.0,6.0,74.0,0.0,6,3.0
871,宝华・城立方,3,7.0,15.0,4.59,22.0,12.0,0.0,7.0,39.0,1.0,6,2.7
872,新梅大厦,3,18.0,21.0,3.04,75.0,4.0,3.0,5.0,25.0,0.0,6,2.6
873,宝山创意码头,2,,,1.62,1.0,0.0,0.0,0.0,3.0,0.0,3,3.79
874,蕾特商务中心,3,,,1.65,4.0,10.0,0.0,0.0,1.0,0.0,4,
875,宝地广场,3,6.0,20.0,5.88,6.0,11.0,2.0,12.0,42.0,1.0,7,
876,虹桥V1,3,,,4.06,14.0,4.0,5.0,8.0,15.0,1.0,7,3.5
877,瑞安广场,3,21.0,26.0,8.11,43.0,14.0,6.0,27.0,24.0,2.0,7,5.57
878,一天下大厦,2,14.0,27.0,3.19,19.0,3.0,0.0,7.0,16.0,1.0,6,
879,华祺大厦,3,,,4.82,53.0,23.0,5.0,5.0,44.0,1.0,7,5.51
880,埃力生轻工国际大厦,3,21.0,25.0,2.54,24.0,1.0,2.0,13.0,33.0,1.0,7,
881,惠生中心,3,,10.0,4.56,1.0,0.0,0.0,0.0,0.0,0.0,2,
882,渊德商务楼,3,,,2.03,0.0,2.0,0.0,0.0,3.0,0.0,3,5.75
883,远中科研大楼,2,10.0,9.0,3.35,0.0,2.0,0.0,3.0,0.0,1.0,4,
884,e通世界商务园五区,3,,,1.83,0.0,0.0,0.0,0.0,1.0,0.0,2,
885,金桥数研基地,3,,,2.43,4.0,0.0,0.0,1.0,1.0,0.0,4,
886,凯德龙之梦,3,7.0,30.0,4.56,22.0,9.0,10.0,6.0,0.0,0.0,5,3.4
887,陆家嘴软件园,3,12.0,6.0,5.58,12.0,2.0,3.0,10.0,18.0,1.0,7,7.91
888,鸿祥大厦,3,7.0,15.0,3.04,74.0,8.0,19.0,10.0,50.0,1.0,7,3.54
889,广发大厦,3,,,9.16,87.0,8.0,0.0,14.0,28.0,1.0,6,
890,E仓创意中心,3,,,3.65,48.0,10.0,5.0,6.0,26.0,2.0,7,
891,胜富仁大厦,3,5.0,11.0,4.06,9.0,2.0,7.0,4.0,13.0,1.0,7,
892,老四行创意园区,2,21.0,7.0,4.06,47.0,2.0,2.0,5.0,21.0,1.0,7,6.7
893,乐平方,3,5.0,5.0,3.75,3.0,3.0,2.0,5.0,8.0,0.0,6,
894,凯利大厦,2,15.0,18.0,3.85,30.0,51.0,1.0,9.0,78.0,1.0,7,2.5
895,爱美高大厦,3,21.0,23.0,8.11,21.0,20.0,6.0,6.0,25.0,2.0,7,4.35
896,50智慧产业科技园,3,,,1.93,22.0,0.0,2.0,6.0,22.0,0.0,5,4.5
897,永华大厦,3,23.0,28.0,5.68,46.0,6.0,0.0,4.0,29.0,2.0,6,4.06
898,凤凰商务中心,1,7.0,34.0,3.17,27.0,47.0,2.0,7.0,23.0,2.0,7,
899,申亚金融广场,3,25.0,29.0,3.95,56.0,14.0,1.0,6.0,27.0,0.0,6,
900,上海招商局广场,3,19.0,26.0,5.48,12.0,12.0,12.0,27.0,28.0,0.0,6,
901,静安新业坊,3,2.0,3.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5
902,张江·矽岸国际,3,7.0,11.0,4.56,0.0,1.0,1.0,0.0,4.0,0.0,4,
903,中福世福汇,3,15.0,26.0,5.67,134.0,13.0,20.0,15.0,77.0,2.0,7,3.75
904,神州数码科技大厦,3,13.0,5.0,4.06,16.0,3.0,5.0,1.0,24.0,1.0,7,
905,建工大厦,3,22.0,27.0,3.85,28.0,0.0,1.0,8.0,17.0,2.0,6,4.3
906,华鑫天地,3,,,4.56,0.0,0.0,1.0,6.0,6.0,0.0,4,
907,凤阳路659号,3,,,5.07,59.0,13.0,16.0,16.0,42.0,4.0,7,2.5
908,绿地伯顿大厦,3,,1.0,1.72,6.0,2.0,0.0,3.0,6.0,0.0,5,
909,金龙大厦,3,22.0,18.0,2.74,25.0,3.0,5.0,4.0,20.0,1.0,7,
910,齐鲁大厦,3,22.0,28.0,6.39,42.0,9.0,3.0,0.0,22.0,1.0,6,3.75
911,康建商务广场,3,9.0,16.0,2.53,5.0,0.0,1.0,1.0,9.0,2.0,6,
912,诺诚M7创意园,3,2.0,7.0,2.64,6.0,4.0,1.0,2.0,12.0,0.0,6,2.6
913,同乐坊,2,16.0,12.0,5.07,33.0,8.0,2.0,4.0,31.0,2.0,7,
914,贝岭技术研发中心,3,6.0,18.0,3.85,3.0,3.0,1.0,2.0,8.0,0.0,6,
915,慧峰商务大厦,3,12.0,16.0,2.03,1.0,0.0,0.0,0.0,2.0,0.0,3,3.25
916,广东发展银行大厦,2,18.0,25.0,5.57,59.0,7.0,0.0,16.0,29.0,3.0,6,
917,卓维700,2,13.0,8.0,6.08,58.0,9.0,6.0,16.0,62.0,2.0,7,
918,杰地大厦,2,13.0,17.0,3.92,33.0,0.0,6.0,6.0,33.0,3.0,6,
919,漕河泾写字楼,3,,6.0,3.24,7.0,9.0,3.0,9.0,26.0,1.0,7,
920,海伦国际,3,6.0,13.0,2.88,34.0,15.0,10.0,6.0,39.0,1.0,7,5.0
921,比乐创意办公空间,3,1.0,4.0,3.01,1.0,0.0,0.0,0.0,0.0,0.0,2,4.1
922,滨江万科中心,3,,,6.08,5.0,1.0,0.0,2.0,6.0,0.0,5,6.78
923,致远大厦,3,15.0,28.0,3.5,39.0,6.0,1.0,6.0,29.0,3.0,7,4.48
924,金桥大厦,2,17.0,28.0,2.64,21.0,1.0,6.0,4.0,22.0,0.0,6,
925,春秋国际大厦,3,,,5.07,6.0,11.0,0.0,12.0,26.0,0.0,5,2.95
926,长海商务楼,3,,,3.38,21.0,0.0,3.0,0.0,26.0,0.0,4,
927,协泰中心,3,26.0,29.0,4.56,11.0,1.0,0.0,7.0,22.0,0.0,5,3.6
928,上海物资大厦,3,,,2.7,96.0,6.0,22.0,10.0,68.0,0.0,6,3.0
929,华普科技大厦,3,22.0,24.0,3.04,34.0,6.0,2.0,4.0,19.0,1.0,7,
930,上海漕河泾实业大厦,3,,9.0,3.8,10.0,17.0,2.0,5.0,0.0,1.0,6,5.8
931,嘉汇国际广场,3,10.0,35.0,2.71,73.0,4.0,3.0,8.0,25.0,1.0,7,
932,渡口空间,3,,,6.9,3.0,4.0,1.0,3.0,6.0,1.0,7,
933,蓝宝石大厦,3,15.0,23.0,3.2,10.0,5.0,8.0,4.0,30.0,1.0,7,2.52
934,泛太大厦,3,25.0,6.0,2.54,16.0,12.0,2.0,10.0,40.0,0.0,6,
935,康定大厦,2,,,5.66,43.0,24.0,6.0,8.0,0.0,1.0,6,5.0
936,福德商务中心,3,22.0,28.0,2.13,23.0,8.0,15.0,7.0,41.0,1.0,7,4.8
937,海上硕和城SOHO商务中心,1,6.0,14.0,2.84,9.0,1.0,2.0,6.0,16.0,1.0,7,
938,帝宝国际大厦,3,10.0,9.0,3.04,6.0,3.0,1.0,1.0,15.0,0.0,6,
939,张江海趣园,3,3.0,26.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,1,
940,上海中观产业园,3,,,3.38,33.0,11.0,0.0,6.0,20.0,0.0,5,3.3
941,长宁88中心,3,4.0,23.0,6.59,38.0,2.0,7.0,4.0,25.0,0.0,6,
942,江南智造生活广场,2,,2.0,4.87,35.0,22.0,3.0,7.0,30.0,0.0,6,5.38
943,星外滩10号,3,1.0,20.0,7.1,21.0,0.0,2.0,5.0,37.0,1.0,6,
944,金赢108创意广场银座,3,,35.0,3.39,9.0,2.0,3.0,1.0,33.0,1.0,7,
945,清水湾大酒店,2,15.0,20.0,4.82,35.0,2.0,1.0,7.0,21.0,1.0,7,
946,越洋广场,3,11.0,43.0,10.14,72.0,15.0,15.0,7.0,27.0,1.0,7,3.0
947,春之声大厦,3,11.0,18.0,4.38,19.0,3.0,3.0,6.0,25.0,1.0,7,
948,力玮科技大楼,2,16.0,5.0,3.04,16.0,1.0,0.0,0.0,8.0,0.0,4,3.0
949,东展商业大厦,3,14.0,26.0,5.03,12.0,10.0,17.0,16.0,36.0,3.0,7,3.0
950,大宁商务中心,3,1.0,23.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,1,5.4
951,汇商大厦,3,14.0,19.0,6.08,3.0,1.0,2.0,9.0,4.0,0.0,6,4.2
952,中国人寿金融中心,3,1.0,58.0,10.65,12.0,6.0,1.0,5.0,25.0,0.0,6,
953,京德大楼,3,,27.0,3.33,0.0,6.0,10.0,11.0,60.0,1.0,6,3.5
954,歆翱国际电商大厦,3,3.0,12.0,1.83,11.0,0.0,4.0,2.0,13.0,0.0,5,
955,井亭大厦,3,,9.0,3.04,6.0,0.0,1.0,1.0,12.0,0.0,5,3.6
956,振华企业广场,3,6.0,29.0,5.07,4.0,0.0,1.0,3.0,4.0,1.0,6,
957,海琪商务大厦,3,,,2.03,0.0,1.0,4.0,2.0,28.0,1.0,6,
958,柴火空间,3,4.0,5.0,1.52,6.0,0.0,0.0,3.0,6.0,0.0,4,4.11
959,博济F-1088(放鹤路),2,1.0,5.0,1.52,11.0,0.0,1.0,1.0,14.0,1.0,6,1.3
960,诺诚1895创意园,3,,3.0,3.02,5.0,1.0,0.0,2.0,10.0,1.0,6,3.5
961,北外环信息产业园,2,7.0,3.0,2.03,2.0,0.0,0.0,0.0,4.0,1.0,4,
962,解放日报大厦,3,24.0,27.0,4.56,156.0,18.0,19.0,11.0,89.0,1.0,7,
963,龙裕财富中心,3,7.0,11.0,4.36,2.0,4.0,14.0,4.0,5.0,0.0,6,13.78
964,锦绣申江,3,6.0,12.0,3.04,2.0,0.0,0.0,2.0,1.0,0.0,4,
965,创智良仓,3,3.0,26.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,1,
966,盛大天地源创谷,3,2.0,3.0,3.25,3.0,0.0,0.0,2.0,5.0,3.0,5,
967,浦江智谷商务园,2,10.0,4.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,1,4.22
968,武康庭,3,,5.0,6.13,55.0,3.0,0.0,11.0,8.0,2.0,6,
969,兆丰环球大厦,3,20.0,28.0,5.21,21.0,4.0,3.0,3.0,22.0,2.0,7,5.6
970,复华商业大厦,3,,,3.14,31.0,5.0,7.0,7.0,23.0,1.0,7,
971,福龙大厦,2,16.0,25.0,2.07,17.0,4.0,6.0,9.0,26.0,0.0,6,4.68
972,同济联合广场B座,2,12.0,22.0,3.85,6.0,1.0,1.0,8.0,14.0,1.0,7,
973,富容大厦,2,21.0,28.0,5.3,46.0,5.0,3.0,6.0,25.0,1.0,7,2.14
974,华敏翰尊国际,3,14.0,28.0,4.87,56.0,16.0,1.0,8.0,24.0,1.0,7,2.0
975,陆家嘴世纪金融广场（...,3,,1.0,8.11,183.0,0.0,26.0,12.0,89.0,1.0,6,
976,悦达889广场,3,9.0,32.0,6.08,41.0,4.0,8.0,3.0,23.0,3.0,7,
977,高阳大楼,1,100.0,5.0,3.18,0.0,1.0,2.0,2.0,26.0,0.0,5,
978,乐凯大厦,2,22.0,30.0,4.56,39.0,8.0,12.0,5.0,25.0,2.0,7,2.86
979,上海保利广场,3,9.0,30.0,8.11,1.0,0.0,0.0,0.0,0.0,0.0,2,3.27
980,松江漕河泾,3,,,1.52,6.0,1.0,2.0,0.0,11.0,0.0,5,4.37
981,文通东外滩中心,3,1.0,6.0,4.06,7.0,0.0,5.0,10.0,10.0,1.0,6,
982,华能联合大厦,3,21.0,38.0,6.69,18.0,4.0,1.0,7.0,24.0,0.0,6,7.2
983,裕景国际商务广场A座,3,13.0,40.0,5.68,13.0,4.0,0.0,0.0,28.0,2.0,5,
984,华辰金融大厦,3,12.0,25.0,6.0,18.0,6.0,0.0,2.0,7.0,0.0,5,5.0
985,上海陇盛科技大楼,3,,11.0,2.43,28.0,5.0,3.0,9.0,28.0,0.0,6,
986,万事利大厦,3,15.0,27.0,3.04,10.0,18.0,0.0,8.0,66.0,1.0,6,
987,时代大厦,2,20.0,22.0,2.33,40.0,13.0,1.0,12.0,21.0,1.0,7,3.15
988,联通国际大厦,3,21.0,27.0,3.55,43.0,2.0,0.0,5.0,21.0,0.0,5,0.68
989,绿地汇中心,3,5.0,20.0,5.07,2.0,1.0,0.0,0.0,1.0,2.0,5,3.48
990,碧云中心,3,3.0,15.0,4.56,6.0,0.0,1.0,0.0,9.0,1.0,5,3.8
991,华鼎大厦,3,14.0,29.0,3.55,21.0,1.0,5.0,5.0,16.0,0.0,6,
992,永升大厦,3,14.0,26.0,4.28,18.0,4.0,3.0,5.0,18.0,2.0,7,6.0
993,金钟广场,3,19.0,45.0,6.9,36.0,7.0,23.0,27.0,47.0,1.0,7,
994,中信广场,3,7.0,55.0,6.08,66.0,4.0,14.0,10.0,77.0,2.0,7,
995,中创大厦,2,21.0,22.0,6.29,68.0,13.0,18.0,16.0,34.0,3.0,7,
996,海棠大厦,3,7.0,16.0,2.32,6.0,2.0,0.0,4.0,7.0,0.0,5,3.5
997,城市机场航站楼,2,17.0,30.0,6.08,60.0,6.0,15.0,6.0,36.0,1.0,7,
998,永银大厦,2,17.0,28.0,7.23,39.0,9.0,12.0,25.0,43.0,1.0,7,5.25
999,光启城办公楼,3,,24.0,5.07,24.0,1.0,3.0,7.0,0.0,2.0,6,4.27
1000,复兴商厦,3,18.0,7.0,5.07,15.0,3.0,12.0,14.0,29.0,1.0,7,
1001,华博科技大楼,3,,,5.08,18.0,5.0,9.0,1.0,38.0,1.0,7,7.62
1002,国际信贸大厦,2,18.0,26.0,1.52,1.0,0.0,0.0,0.0,4.0,1.0,4,2.97
1003,巴黎时韵,3,15.0,30.0,4.06,131.0,18.0,3.0,10.0,26.0,1.0,7,
1004,兴业太古汇,3,2.0,56.0,10.14,20.0,17.0,13.0,19.0,39.0,3.0,7,3.5
1005,歆翱商务楼,3,,,2.01,1.0,1.0,3.0,1.0,5.0,0.0,6,
1006,首东国顺大厦,3,,15.0,2.84,1.0,4.0,1.0,6.0,15.0,0.0,6,
1007,世贸商城,3,22.0,30.0,4.97,14.0,0.0,2.0,8.0,15.0,1.0,6,
1008,氪空间徐家汇社区,2,8.0,4.0,3.0,41.0,4.0,17.0,11.0,27.0,3.0,7,6.5
1009,中设广场,3,1.0,26.0,2.64,3.0,0.0,0.0,0.0,3.0,0.0,3,
1010,上海电子物联产业园,3,11.0,5.0,1.62,12.0,0.0,3.0,2.0,23.0,0.0,5,
1011,上海滩国际大厦,3,21.0,29.0,5.31,54.0,4.0,4.0,10.0,50.0,0.0,6,3.0
1012,飞雕国际大厦,3,12.0,30.0,4.87,55.0,2.0,10.0,6.0,29.0,2.0,7,1.31
1013,沃力创业园,3,2.0,5.0,2.92,1.0,0.0,0.0,0.0,0.0,0.0,2,4.0
1014,复华高新技术园,2,,10.0,1.53,0.0,11.0,3.0,7.0,24.0,0.0,5,
1015,爱建工业大厦,3,,,2.84,5.0,0.0,0.0,5.0,21.0,1.0,5,
1016,龙之梦大厦,3,14.0,26.0,6.08,61.0,6.0,10.0,0.0,24.0,1.0,6,
1017,腾飞科技岭,3,,,4.06,1.0,0.0,0.0,0.0,0.0,0.0,2,
1018,五角丰达二期,3,8.0,12.0,3.85,22.0,2.0,16.0,5.0,20.0,1.0,7,4.73
1019,永惠大厦,2,,22.0,3.04,55.0,15.0,10.0,11.0,70.0,2.0,7,
1020,静安新时代大厦,3,17.0,20.0,4.87,19.0,10.0,17.0,18.0,38.0,3.0,7,
1021,汇达商务园,2,7.0,5.0,2.74,0.0,0.0,0.0,4.0,9.0,0.0,3,2.67
1022,上海总部湾,3,6.0,16.0,2.13,1.0,0.0,0.0,0.0,0.0,0.0,2,
1023,融创外滩188,3,2.0,26.0,5.58,0.0,4.0,3.0,10.0,51.0,1.0,6,
1024,徐汇创意园,2,12.0,6.0,3.24,10.0,2.0,0.0,4.0,15.0,1.0,6,
1025,加禾LOFT创意园,2,8.0,6.0,3.85,14.0,6.0,0.0,3.0,13.0,1.0,6,
1026,尚大国际,3,6.0,5.0,3.04,3.0,1.0,0.0,0.0,3.0,0.0,4,4.21
1027,曹杨商务大厦,3,11.0,17.0,3.55,7.0,0.0,0.0,5.0,14.0,2.0,5,
1028,华都大厦,3,23.0,30.0,5.58,43.0,2.0,7.0,3.0,21.0,1.0,7,2.0
1029,永嘉庭,2,11.0,4.0,6.08,13.0,4.0,16.0,12.0,28.0,1.0,7,
1030,鑫达大厦,2,21.0,25.0,3.35,7.0,2.0,1.0,8.0,10.0,0.0,6,
1031,七星创业园,3,,,2.84,3.0,2.0,0.0,1.0,11.0,0.0,5,
1032,虹桥新地中心,3,3.0,9.0,6.08,0.0,0.0,3.0,0.0,5.0,0.0,3,
1033,钦汇园,2,15.0,12.0,3.04,4.0,2.0,0.0,1.0,7.0,0.0,5,
1034,新茂大楼,2,16.0,15.0,3.55,14.0,3.0,0.0,5.0,9.0,1.0,6,
1035,廖创兴金融中心,3,11.0,36.0,7.3,19.0,6.0,19.0,18.0,40.0,1.0,7,8.87
1036,世贸大厦,3,,34.0,8.2,45.0,12.0,20.0,16.0,80.0,2.0,7,
