,名称,地址,类型,级别,物业费,空调类型,客梯数,货梯数,车位月租金,地上车位数,网络通讯,地下车位数,物业公司,楼内配套,入驻企业,安防系统,楼层数,竣工时间,总面积,标准层面积,标准层高,地下车位数2,净高,开发商,大堂层高,是否涉外,可注册,开间面积,外墙,租金
1822,森本大厦,徐汇-万体馆-天钥桥路567号,写字楼,乙级,10,,,,,,,,,,,,7,,,,,,,,,True,True,,,4
1823,双高世贸广场,松江-松江大学城-梅家浜路800弄35号,商业综合体,甲级,8,,,,,,,,双高物业,,,,17,2014年01月,,,,,,上海双高物业开发有限公司,,True,True,,,2.74
1827,虹桥正荣中心,闵行-华漕-申虹路666弄,写字楼,甲级,15,,,,,,,,,,,,,,,,,,,,,True,True,,,4.06
1828,国家会展中心,长宁-虹桥开发区-盈港东路168号,商业综合体,甲级,30,,,,,,,,,,,,,,,,,,,,,True,True,,,3.86
1830,碧云中心,浦东-金桥-张杨路3918号,写字楼,甲级,12.7,,,,,,,,上海金桥集团,,,,15,2015年6月,,,,,,上海金桥集团,,True,True,,,5.07
1832,上海国际汽车城大厦,嘉定-安亭-墨玉南路888号,写字楼,甲级,18,集中式中央空调,6,1,,26,,200,,,企业名称：钢树实业有限公司，所属行业：贸易/消费/制造/营运,,,,26132,1000,,200,2.7,上海国际汽车城新安亭联合发展有限公司,,True,True,,花岗石,2.44
1834,来福士广场,黄浦-人民广场-西藏中路268号,商业综合体,甲级,32,,24,2,220,15,电信、联通、移动、卫通,610,宏腾国际,商务中心,企业名称：日本肥后银行股份有限公司上海代表处，所属行业：会计/金融/银行/保险、企业名称：美集物流运输(中国)有限公司，所属行业：物流/运输、企业名称：格兰富水泵（上海）办事处，所属行业：政府/非赢利机构/其他、企业名称：长岳（上海）贸易，所属行业：贸易/消费/制造/营运、企业名称：贝尔多食品销售，所属行业：贸易/消费/制造/营运、企业名称：美国总统轮船有限公司，所属行业：贸易/消费/制造/营运、企业名称：凯德置地投资有限公司，所属行业：房地产/建筑、企业名称：京都天华会计事务所，所属行业：会计/金融/银行/保险,商务中心,,2003年11月,,2302.69,4,610,2.7,凯德置地中国控股有限公司,12,True,True,183m²、123m²、370m²、424m²,玻璃幕墙,6.08
1835,法华525创意树林,长宁-延安西路-法华镇路525号,写字楼,乙级,12.8,分体空调,3,1,800,32,电信、联通、移动,32,上海德必房地产开发经营有限公司,银行、ATM、餐饮、便利店,企业名称：上海翰彤文化传播有限公司，所属行业：广告/媒体、企业名称：上海交大金铃铛电子科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：依成服饰有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海新尚维航空服务有限公司，所属行业：物流/运输,银行、ATM、餐饮、便利店,6,2007年6月,7903,1000,3,32,3,上海德必房地产开发经营有限公司,5.5,False,True,200m²,玻璃幕墙,4.87
1836,磊鑫大厦,松江-九亭-九亭镇伴亭路488号,写字楼,甲级,8,,,,,,,,上海磊鑫物业,,,,16,2016年12月,,,,,,上海磊鑫企业集团,,True,True,,,2.03
1837,众原国际大厦,浦东-外高桥-浦东自贸区德堡路38号,写字楼,甲级,6,,,,,,,,,,,,,,,,,,,,,True,True,,,1.32
1838,昇PARK创意园,宝山-上海大学-真大路520号,写字楼,甲级,9,,,,,,,,添悦,,,,5,2016年10月,,,,,,添悦企业管理,,True,True,,,2.54
1839,燎申虹桥国际中心,闵行-龙柏-虹井路288号,商业综合体,甲级,12,半集中式中央空调,2,1,500,20,电信、联通、移动,200,上海燎申虹桥（集团）有限公司,食堂、银行、ATM、餐饮、便利店、干洗店、会议室,企业名称：上海惟意教育集团(虹井路分部)，所属行业：专业服务/教育/培训、企业名称：青岛圣瓦伦丁婚纱摄影有限公司上海虹井路分公司，所属行业：贸易/消费/制造/营运、企业名称：臻盟商贸有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海芯南光电技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海亿城投资管理咨询有限公司注册公司，所属行业：专业服务/教育/培训,食堂、银行、ATM、餐饮、便利店、干洗店、会议室,9,2009年7月,40000,2000,3.7,200,3,上海燎申虹桥（集团）有限公司,7,True,True,140m²、200m²、350m²、2000m²,玻璃幕墙,3.65
1840,东华时尚创意园,长宁-中山公园-延安西路1882号,创意园区,甲级,18,集中式中央空调,6,2,500,150,电信、联通、长城、移动、有线通,230,,银行、ATM、餐饮、便利店,企业名称：上海新力化学品有限公司，所属行业：能源/原材料、企业名称：上海蓝点纺织科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：西藏金丹科技开发有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海盛融科技有限公司，所属行业：计算机/互联网/通信/电子,银行、ATM、餐饮、便利店,15,2011年06月,2000,1692,3.3,230,2.6,东华大学,5.5,False,True,80-150m²,大理石,4.56
1841,盛源恒华大厦,徐汇-徐家汇-文定路200号,写字楼,甲级,18,,,,,,,,盛源集团,,,,18,,,,,,,,,True,True,,,5.88
1842,元谷文创园,闵行-颛桥-上海市闵行区光华路689号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,1.52
1844,北桥青年城,闵行-老闵行-沪闵路2680弄,商业综合体,乙级,6,,,,,,,,,,,,7,,,,,,,,,True,True,,,1.83
1846,绿地东海岸国际广场,浦东-川沙-川沙路5558弄6号,商业综合体,甲级,12,集中式中央空调,4,4,400,200,电信、联通、长城、铁通、移动、有线通,500,上海圣维仕物业管理有限公司,ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,,ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,17,2009年4月,98420,1400,5.5,500,2.6,绿地集团,5.5,True,True,400m²,玻璃幕墙,1.88
1847,新明KIDMALL,嘉定-南翔-浏翔公路138号,综合写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,1.62
1850,智富源大厦,虹口-四川北路-广中路88号,写字楼,乙级,12,集中式中央空调,1,1,600,,电信、联通、长城、移动、卫通,100,,食堂,企业名称：上海世界图书出版公司，所属行业：专业服务/教育/培训、企业名称：上海金泰文化音像有限公司，所属行业：专业服务/教育/培训、企业名称：上海东图广告公司，所属行业：广告/媒体、企业名称：上海中图文化发展有限公司，所属行业：广告/媒体、企业名称：现代音响技术编辑部，所属行业：广告/媒体,食堂,15,2009年12月,9690,646,3.5,100,2.8,上海凯旭置业有限公司,7,False,True,60m²、70m²,玻璃幕墙,3.35
1851,新利商务中心,长宁-中山公园-愚园路907号(靠近安西路),写字楼,甲级,25,集中式中央空调、分体空调,4,1,1000,12,电信、联通、长城、铁通、移动,20,新利物业,ATM、便利店、干洗店、商务中心、会议室,企业名称：中锐留学，所属行业：专业服务/教育/培训、企业名称：新利集团有限公司，所属行业：房地产/建筑、企业名称：上海享乐广告传播有限公司，所属行业：广告/媒体、企业名称：中瑞留学，所属行业：专业服务/教育/培训、企业名称：上海烟草集团烟酒专卖店，所属行业：贸易/消费/制造/营运,ATM、便利店、干洗店、商务中心、会议室,5,1990年2月,3500,500,3.8,20,2.8,新利集团有限公司,3.5,True,True,500m²,,2.67
1853,浦发广场写字楼,普陀-中山北路-中山北路1715号,写字楼,甲级,8.4,,,,,,,,,,,,,,,,,,,,,True,True,,,3.24
1854,安利大楼,黄浦-南京东路-四川中路320号,写字楼,乙级,3.5,分体空调,1,1,500,,电信、联通、移动,,,银行、ATM、餐饮、干洗店,企业名称：上海市工商联民办教育协会，所属行业：政府/非赢利机构/其他、企业名称：上海市渔政监督管理处，所属行业：政府/非赢利机构/其他、企业名称：上海梅山梅星实业有限公司，所属行业：房地产/建筑、企业名称：上海华夏会计师事务所，所属行业：专业服务/教育/培训、企业名称：上海锦清实业有限公司，所属行业：专业服务/教育/培训,银行、ATM、餐饮、干洗店,7,1983年8月,3216,300,3,,2.8,上海黄浦投资集团置地有限公司,4.5,False,False,75m²,面砖,7.1
1856,上海湾鄂尔多斯大厦,浦东-八佰伴-浦东南路1118号,商业综合体,甲级,28,分体空调,6,1,1650,80,电信、移动,260,上海鄂尔多斯置业经营管理有限公司,银行、ATM、餐饮、商务中心、会议室,企业名称：上海養樂多贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：内蒙古伊泰集团有限公司，所属行业：贸易/消费/制造/营运、企业名称：兆智国际贸易（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：香港五斗米馆国际有限公司上海办事处，所属行业：专业服务/教育/培训、企业名称：上海新方程股权投资管理有限公司，所属行业：会计/金融/银行/保险,银行、ATM、餐饮、商务中心、会议室,22,2007年8月,624000,22000,3.6,260,2.8,鄂尔多斯集团上海久大置业有限公司,4.8,False,True,1250m²,玻璃幕墙,6.08
1858,双鸽大厦,浦东-竹园商贸区-浦电路438号,写字楼,甲级,22,,5,1,1000,50,电信、联通、移动、卫通,100,第一太平戴维斯物业顾问（上海）有限公司,ATM、便利店,企业名称：浙大期货，所属行业：会计/金融/银行/保险、企业名称：鲁海期货，所属行业：会计/金融/银行/保险、企业名称：恒安电子，所属行业：计算机/互联网/通信/电子、企业名称：阑盛高级成衣定制，所属行业：贸易/消费/制造/营运、企业名称：上海竞博工贸有限公司，所属行业：贸易/消费/制造/营运,ATM、便利店,17,2004年4月,40356,2000,3.5,100,2.7,上海永生招商发展有限公司,14,True,True,328m²、210m²、329m²、265m²、341m²、000m²、000m²,玻璃幕墙,5.58
1861,沪西德必易园,普陀-真如-真南路150号,创意园区,乙级,10.5,,,,,,,,,,,,5,,,,,,,,,True,True,,,2.94
1862,国际金融家,浦东-竹园商贸区-浦电路400号,综合写字楼,丙级,4.5,分体空调,3,1,1000,120,电信、联通、移动,500,上海兴业投资发展有限公司,银行、ATM、便利店、商务中心,企业名称：昊业房产，所属行业：房地产/建筑、企业名称：上海久明国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海杰达投资咨询有限公司，所属行业：贸易/消费/制造/营运,银行、ATM、便利店、商务中心,30,2000年6月,31000,570,3.8,500,2.7,上海兴业投资发展有限公司,12,False,True,120m²,涂料,3.1
1863,埃力生轻工国际大厦,虹口-临平路-四平路198号,写字楼,甲级,30,,3,1,100,50,电信、联通,200,,银行、ATM、餐饮、便利店、食堂,企业名称：民安保险(中国)有限公司，所属行业：会计/金融/银行/保险、企业名称：上海港集国际物流有限公司，所属行业：物流/运输、企业名称：上海喜尔宜国际物流有限公司，所属行业：物流/运输、企业名称：上海三江国际货运有限公司，所属行业：物流/运输,银行、ATM、餐饮、便利店、食堂,25,1997年1月,15040,600,3.8,200,2.4,上海轻工国际集团有限公司,5,True,True,100m²、600m²,大理石,2.03
1865,创智空间,浦东-张江-金科路2966号,创意园区,乙级,25,集中式中央空调、半集中式中央空调,1,1,500,30,电信、联通、移动,80,中航物业,食堂、ATM、餐饮、便利店、会议室,企业名称：索享(上海)科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：富士FUJI-富士（中国）控股有限公司，所属行业：贸易/消费/制造/营运、企业名称：致东光电科技(上海)有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海麦琳实业有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海MIN高机电工程有限公司，所属行业：贸易/消费/制造/营运,食堂、ATM、餐饮、便利店、会议室,6,,20000,2000,6,80,5,上海明泉房地产开发有限公司,6,True,True,100m²、250m²、500m²,玻璃幕墙,5.07
1866,玉嘉大厦,长宁-延安西路-华山路1336号,综合写字楼,丙级,57,,2,1,800,20,电信、联通、铁通、移动,100,,ATM、便利店,企业名称：上海仁思商务咨询有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海北亚华欣置业有限公司，所属行业：房地产/建筑、企业名称：美国普特股份有限公司上海代表，所属行业：贸易/消费/制造/营运、企业名称：香港金钥贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海雅门建筑设计工程有限公司，所属行业：房地产/建筑,ATM、便利店,20,1997年5月,19800,1200,3,100,2.6,上海中建房地产有限公司,6,True,True,110m²、180m²、360m²,面砖,3.55
1869,兴迪商务大厦,徐汇-漕河泾-宜山路1698号,写字楼,甲级,15,分体空调,2,1,350,98,电信、联通、长城、铁通、移动,150,上海兴迪实业有限公司,食堂、商务中心、会议室,企业名称：笔特信息科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：思拓软件(上海)有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海德昊化工有限公司，所属行业：能源/原材料、企业名称：威图热能技术有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海合增物资回收公司，所属行业：贸易/消费/制造/营运、企业名称：笔特信息科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：思拓软件(上海)有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海德昊化工有限公司，所属行业：贸易/消费/制造/营运、企业名称：威图热能技术有限公司，所属行业：贸易/消费/制造/营运、企业名称：建碁中国公司，所属行业：贸易/消费/制造/营运,食堂、商务中心、会议室,14,2008年3月,20000,1400,2.7,150,2.7,上海兴迪实业,12,False,True,120m²、1500m²,玻璃幕墙,3.55
1871,太平人寿大厦,浦东-世纪公园-民生路1399号,写字楼,甲级,31,集中式中央空调,3,1,500,35,电信、联通、长城、铁通、移动、卫通,200,上海公益物业管理有限公司,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,企业名称：上海捷铭律师事务所，所属行业：专业服务/教育/培训、企业名称：上海大威德投资有限公司，所属行业：会计/金融/银行/保险、企业名称：星汉兴业有限公司，所属行业：贸易/消费/制造/营运、企业名称：浦东新区财政局专项资金管理中心，所属行业：政府/非赢利机构/其他、企业名称：太平人寿保险有限公司，所属行业：会计/金融/银行/保险,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,18,1999年6月,27849,1300,3.9,200,2.7,上海信息大厦有限公司,5.5,True,True,97m²、105m²、153m²,玻璃幕墙,5.07
1872,英沃工场,徐汇-万体馆-漕宝路36号,写字楼,甲级,,,,,,,,,上海荧沃投资有限公司,,,,,2016年01月,,,,,,上海荧沃投资管理有限公司,,True,True,,,4.06
1873,华融国际大厦,长宁-延安西路-延安西路1448弄1号,写字楼,丙级,24,分体空调,1,,300,30,电信、联通、移动,,,,企业名称：惠普维修中心，所属行业：计算机/互联网/通信/电子、企业名称：上海科力传动机械有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海市商维实业有限公司，所属行业：房地产/建筑、企业名称：爱比思（上海）国际贸易，所属行业：贸易/消费/制造/营运、企业名称：上海扬艺园林工程有限公司，所属行业：房地产/建筑,,8,2004年11月,7000,625,3,,2.6,上海市华建置业有限公司,3.5,True,True,300m²、320m²,面砖,3.04
1874,中国梦谷（青浦）,青浦-青浦-华徐公路888号,写字楼,甲级,10,,,,,,,,,,,,,,,,,,,,,True,True,,,1.83
1878,万宝国际商务中心,长宁-延安西路-新华路660号,写字楼,乙级,24,集中式中央空调,2,1,800,30,电信、联通、移动,50,上海万宝商务有限公司,餐饮、商务中心、会议室,企业名称：翰玛工业设备(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海碧能生物制品有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海宏明投资有限公司，所属行业：会计/金融/银行/保险、企业名称：好丽友食品，所属行业：贸易/消费/制造/营运、企业名称：碧能贸易，所属行业：贸易/消费/制造/营运,餐饮、商务中心、会议室,5,1995年1月,20000,3025,2.6,50,2.4,香港万宝国际集团,4,False,True,,玻璃幕墙,5.07
1883,绿地同创大厦,普陀-曹杨-顺义路18号,写字楼,乙级,8,分体空调,2,1,600,30,电信、联通、移动、卫通,500,绿地同创大厦上海绿地新龙基置业有限公司,食堂、银行、ATM,企业名称：绿地新龙置业，所属行业：房地产/建筑、企业名称：上海金沂蒙化工有限公司，所属行业：能源/原材料、企业名称：上海华锦建设有限公司，所属行业：房地产/建筑、企业名称：艺巢信息技术有限公司，所属行业：专业服务/教育/培训、企业名称：上海进德纺织品有限公司，所属行业：贸易/消费/制造/营运,食堂、银行、ATM,31,2004年8月,26000,800,3,500,2.6,上海绿地新龙基置业有限公司,5,False,True,70m²、90m²、120m²,玻璃幕墙,2.97
1884,中油企业大厦,徐汇-万体馆-凯进路151号,写字楼,乙级,10,,,,,,,,上海中油企业集团石油化工有限公司,,,,6,2007年6月,,,,,,上海中油企业集团石油化工有限公司,,True,True,,,3.04
1885,虹桥汇,闵行-华漕-申长路990号,商业综合体,甲级,33,,,,,,,,高德量行,,,,9,2016年03月,,,,,,金臣联美,,True,True,,,5.68
1886,智汇产业园,徐汇-漕河泾-钦州北路桂平路,写字楼,甲级,7.8,分体空调,2,2,400,200,电信、联通、长城、铁通、移动、有线通,300,漕河泾开发区物业管理有限公司,银行、ATM、餐饮、便利店、干洗店,企业名称：京沪行，所属行业：房地产/建筑,银行、ATM、餐饮、便利店、干洗店,6,,23000,560,3,300,3,1997,5,False,True,200m²、410m²、830m²、1671平米m²,大理石,3.85
1887,青慧谷,浦东-世纪公园-杜鹃路192号,写字楼,甲级,4.5,,,,,,,,,,,,,,,,,,,,,True,True,,,3.24
1888,金虹桥国际中心,长宁-虹桥开发区-古北路555弄,商业综合体,甲级,35,集中式中央空调,12,2,1500,100,电信、联通、移动,400,第一太平戴维斯,银行、ATM、餐饮、便利店、商务中心,,银行、ATM、餐饮、便利店、商务中心,50,2013年12月,263380,2100,3.8,400,2.9,上海城投置地有限公司,15,True,True,120m²、250m²,玻璃幕墙,7.61
1889,骏丰国际财富广场,虹口-和平公园-大连路1619号,商业综合体,甲级,19.8,集中式中央空调、半集中式中央空调,6,1,1000,,电信、联通、长城、移动,202,高力国际物业公司,食堂、银行、ATM、餐饮、便利店、商务中心、会议室、会展中心,企业名称：纠错禾绿回转寿司，所属行业：贸易/消费/制造/营运、企业名称：劲海物流上海有限公司，所属行业：物流/运输、企业名称：上海凯锐国际物流有限公司，所属行业：物流/运输、企业名称：弘祥国际货运代理有限公司，所属行业：物流/运输、企业名称：上海迅宇物流有限公司，所属行业：物流/运输,食堂、银行、ATM、餐饮、便利店、商务中心、会议室、会展中心,27,2009年6月,52000,1300,4,202,3,上海骏丰置业发展有限公司,10,True,True,80m²、110m²、220m²,玻璃幕墙,3.95
1890,凤凰大厦,徐汇-漕河泾-田州路99弄,写字楼,甲级,7.5,半集中式中央空调,5,1,800,122,电信、铁通、移动、卫通、有线通,1200,漕河泾物业,食堂、餐饮、便利店,企业名称：嘉禾电脑，所属行业：计算机/互联网/通信/电子、企业名称：德迈科电气，所属行业：计算机/互联网/通信/电子,食堂、餐饮、便利店,24,2004年12月,46000,1700,3,1200,2.8,上海漕河泾开发公司,8,True,True,358m²,涂料,3.55
1891,中环现代大厦,普陀-长寿路-新会路468号,写字楼,甲级,25,集中式中央空调,3,1,800,,电信、联通、长城、铁通、移动、卫通、有线通,200,,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,企业名称：雷诺斯国际货运代理，所属行业：物流/运输、企业名称：上海中环投资开发(集团)，所属行业：房地产/建筑、企业名称：埃康广告有限公司，所属行业：广告/媒体、企业名称：茂舜生物科技(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：宜信商务投资有限公司，所属行业：会计/金融/银行/保险,银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心,25,2010年1月,20950,700,3.5,200,2.6,上海中环投资开发（集团）有限公司,8,True,True,100m²、200m²、300m²、400m²,玻璃幕墙,5.07
1893,光启城,徐汇-万体馆-宜山路425号,商业综合体,甲级,27.5,集中式中央空调,4,1,800,,电信、联通、移动、卫通,1000,戴德梁行,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,企业名称：大华集团，所属行业：广告/媒体、企业名称：光启城时尚购物中心招商部，所属行业：房地产/建筑、企业名称：上海华品房地产开发有限公司，所属行业：房地产/建筑、企业名称：俱进建设实业有限公司，所属行业：房地产/建筑、企业名称：中建8局工业设备安装有限责任公司，所属行业：房地产/建筑,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,24,2011年12月,163869,2000,3.9,1000,2.7,上海俱进建设实业有限公司（大华集团企业成员）,7,True,True,136m²、147m²、217m²、260m²,玻璃幕墙,5.58
1895,博达科技楼,浦东-张江-居里路123号,商业综合体,甲级,9,,,,,,,,,,,,,,,,,,,,,True,True,,,3.95
1896,富海商务苑,浦东-张江-张江高科园区毕升路299弄,写字楼,甲级,10,集中式中央空调、分体空调,2,1,500,,电信、联通,360,,食堂、会议室,,食堂、会议室,6,2005年4月,26716,4000,3,360,2.6,上海张江信息安全产业发展有限公司,3.5,True,True,232m²,面砖,3.04
1897,云海大厦,徐汇-淮海西路-上海淮海中路1333号,写字楼,乙级,25,集中式中央空调,4,2,1300,15,电信、联通、卫通,35,,餐饮,企业名称：上海华普电缆有限公司，所属行业：贸易/消费/制造/营运、企业名称：马来西亚德尼布远东私营有限公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：上海天灵电器设备制造有限公司，所属行业：贸易/消费/制造/营运、企业名称：德希尼布天辰化学工程(天津)有限公司上海办事，所属行业：贸易/消费/制造/营运、企业名称：通海建设有限公司，所属行业：房地产/建筑,餐饮,24,1998年10月,26586,1023,3.5,35,2.6,申汇房地产投资发展公司,3.5,True,True,,玻璃幕墙,2.94
1898,全方位科技园,闵行-莘庄-都会路1699号,写字楼,甲级,6,,,,,,,,上海全方位数码科技有限公司,,,,8,2016年09月,,,,,,上海全方位数码科技有限公司,,True,True,,,1.62
1900,飞洲时代大厦,普陀-中山北路-中山北路1777号,写字楼,甲级,22,集中式中央空调,3,1,900,40,电信、联通、长城、移动、卫通,200,上海城开物业,餐饮、便利店,企业名称：招金期货，所属行业：会计/金融/银行/保险、企业名称：石库门企业管理，所属行业：专业服务/教育/培训、企业名称：汰威装饰工程（上海）有限公司，所属行业：房地产/建筑、企业名称：上海罗根医疗科技有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海林展工贸发展有限公司，所属行业：贸易/消费/制造/营运,餐饮、便利店,28,2008年12月,31617,1122,4,200,2.7,上海飞洲房地产开发有限公司,6,True,True,96m²、157m²,玻璃幕墙,4.06
1902,浦东金融广场,浦东-陆家嘴-浦东南路899号,综合写字楼,甲级,40,,,,,,,,陆家嘴集团,,,,20,2018年1月,,,,,,陆家嘴集团,,True,True,,,9.94
1903,张江集电港,浦东-张江-张东路1388号,写字楼,乙级,5,半集中式中央空调,4,1,500,200,电信、联通、移动,200,张江集电港物业管理有限公司,食堂、银行、ATM、餐饮、便利店、商务中心、会议室,企业名称：51JOB，所属行业：计算机/互联网/通信/电子、企业名称：上海海优威电子技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：丹标国际贸易（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海钢软信息技术工程有限公司，所属行业：计算机/互联网/通信/电子、企业名称：昆泰集成电路（上海）有限公司，所属行业：计算机/互联网/通信/电子,食堂、银行、ATM、餐饮、便利店、商务中心、会议室,22,2001年1月,2500000,1450,4.2,200,3.2,上海张江集成电路产业区开发有限公司,10,False,True,300m²,涂料,3.35
1904,东方汽配城,嘉定-丰庄-曹安路1926号,商业综合体,丙级,2.3,分体空调,3,1,300,965,电信、联通,852,,银行、ATM、餐饮、便利店、干洗店,企业名称：上海杉久贸易有限公司，所属行业：广告/媒体、企业名称：上海九用实业有限公司，所属行业：房地产/建筑,银行、ATM、餐饮、便利店、干洗店,17,2011年8月,110000,1000,3.5,852,3.2,上海东方汽配城有限公司,5,False,True,53m²,玻璃幕墙,1.38
1905,赢嘉大厦,闵行-七宝-顾戴路2088号,写字楼,甲级,15,,,,,,,,,,,,10,,,,,,,,,True,True,,,3.21
1907,尚诚国际大厦,普陀-曹杨-曹杨路505号,写字楼,甲级,8,集中式中央空调,3,1,600,178,电信、联通、长城、铁通、移动、卫通、有线通,100,,银行、ATM,企业名称：上海荣圣船务工程有限公司.，所属行业：物流/运输、企业名称：上海嘉展国际建筑装潢工程有限公司，所属行业：房地产/建筑、企业名称：上海军尚票务有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海奥施嘉贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海三希文化公司，所属行业：贸易/消费/制造/营运,银行、ATM,15,2007年1月,12000,800,3,100,2.6,建发房地产集团有限公司,5,False,True,80m²、90m²、100m²、180m²,玻璃幕墙,3.94
1908,雍和创智广场,静安-彭浦-永和路456号,创意园区,甲级,9,分体空调,4,1,300,150,电信、联通、移动,,,银行、ATM、便利店、商务中心,企业名称：上海汇创广告设计有限公司，所属行业：广告/媒体、企业名称：上海美伊服饰有限公司，所属行业：贸易/消费/制造/营运,银行、ATM、便利店、商务中心,6,2010年9月,22000,700,6,,5.5,上海富业艺术品发展有限公司,5,False,True,300m²,面砖,3.04
1909,歆翱创意园,松江-新桥-银都西路350号,写字楼,甲级,5,,,,,,,,上海歆翱物业服务有限公司,,,,4,2009年1月,,,,,,上海歆翱实业有限公司,,True,True,,,1.22
1911,soho世纪广场,浦东-竹园商贸区-向城路288号,写字楼,甲级,30,集中式中央空调,8,2,800,50,电信、长城、移动,1000,SOHO中国,银行、ATM、餐饮、便利店,企业名称：上海期货交易所，所属行业：会计/金融/银行/保险,银行、ATM、餐饮、便利店,24,2011年8月,60779,1400,3,1000,2.7,上海龙仓置业有限公司,10,True,True,200m²,玻璃幕墙,8.31
1913,宏伊国际广场,黄浦-南京东路-南京东路311号,商业综合体,甲级,32,,6,2,1500,,电信、联通、铁通、移动、卫通,147,上海宏伊物业管理有限公司,ATM、餐饮,企业名称：上海晶派实业有限公司，所属行业：贸易/消费/制造/营运、企业名称：麦克赛尔上海贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：意大利签证申请中心，所属行业：政府/非赢利机构/其他、企业名称：希腊签证申请中心，所属行业：政府/非赢利机构/其他、企业名称：法国签证申请中心，所属行业：政府/非赢利机构/其他,ATM、餐饮,32,2006年12月,64642,1476,5,147,2.7,上海宏伊置业有限公司,7,True,True,192m²、222m²、266m²、274m²、258m²,玻璃幕墙,7.71
1914,华敏翰尊国际,长宁-延安西路-延安西路726号，728号,写字楼,甲级,25,集中式中央空调,8,1,1300,120,电信、联通、长城、铁通、移动、卫通,475,上海高力国际物业管理有限公司,银行、ATM、餐饮、商务中心、会议室、会展中心,企业名称：分众传媒，所属行业：计算机/互联网/通信/电子、企业名称：上海艾迪西流体控制有限公司，所属行业：贸易/消费/制造/营运、企业名称：蔡清律师事务所，所属行业：专业服务/教育/培训、企业名称：上海采石林珠宝有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海协车汽车服务有限公司，所属行业：专业服务/教育/培训,银行、ATM、餐饮、商务中心、会议室、会展中心,28,2004年7月,135300,2500,4,475,2.8,上海华敏置业(集团)有限公司,6,True,True,120m²、220m²、400m²、420m²、720m²,玻璃幕墙,4.06
1915,普陀科技大厦,普陀-长寿路-西康路1255号,写字楼,甲级,15,分体空调,5,1,500,50,电信、联通、长城、铁通、移动,50,,会议室,企业名称：上海卖买提网络科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海同鑫信息技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海博格森阀门有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海赛闻广告传播有限公司，所属行业：广告/媒体、企业名称：上海复美益星大药房连锁有限公司，所属行业：专业服务/教育/培训,会议室,18,2008年9月,18865,1060,3.2,50,2.6,,5,False,True,290m²、600m²,玻璃幕墙,4.06
1917,宝矿洲际商务中心,静安-火车站-裕通路100号,写字楼,甲级,29,,,,,,,,,,,,,,,,,,,,,True,True,,,6.79
