,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,address_for_coordinate,latitude,longitude
1941,加减乘除创意园,https://www.haozu.com/sh_xzl_5199/,4,280 - 400m²,普陀  长征云岭西路689弄230号  ,2.85,5.04,长征,7.0,13000m²,5,2,东渡国际、北岸长风,13000,普陀  长征云岭西路689弄230号  ,31.2331199646,121.36958313
1942,中煌大厦,https://www.haozu.com/sh_xzl_4935/,14,42 - 79.3m²,徐汇  万体馆中山南二路1007号  ,3.62,5.67,万体馆,18.0,21600m²,3,3,上海瀚商管理咨询有限公司、上海协为信息科技有限公司、上海柯灿贸易有限公司、金鸿企业管理有限公司,21600,徐汇  万体馆中山南二路1007号  ,31.1874866486,121.452392578
1943,龙之梦丽晶大厦,https://www.haozu.com/sh_xzl_20287/,9,146.9 - 1050m²,长宁  中山公园长宁路1018号  ,9.32,6.92,中山公园,58.0,,4.0,6,,,长宁  中山公园长宁路1018号  ,31.2246322632,121.422798157
1944,月牙湾,https://www.haozu.com/sh_xzl_37469/,19,46 - 2000m²,长宁  虹桥哈密路2065号  ,7.48,7.31,虹桥,,,,,,,长宁  虹桥哈密路2065号  ,31.1984977722,121.376098633
1945,银统大厦,https://www.haozu.com/sh_xzl_1245/,77,132.2 - 232.8m²,长宁  中山公园定西路1016  ,6.2,6.92,中山公园,24.0,40000m²,3.5,3,,40000,长宁  中山公园定西路1016  ,31.2172622681,121.430267334
1946,嘉发大厦,https://www.haozu.com/sh_xzl_4774/,17,null,静安  南京西路大田路129弄  ,,,,33.0,55982m²,3,3,谙稷国际贸易有限公司、胜上国际贸易(上海)有限公司、新加坡迪发机械有限责任公司上海代表处、宏晖软件技术有限公司,55982,静安  南京西路大田路129弄  ,31.2393836975,121.470596313
1947,金外滩国际广场,https://www.haozu.com/sh_xzl_3816/,15,165 - 581m²,黄浦  外滩中山南路100号  ,10.73,10.33,外滩,22.0,77852m²,3.5,6,,77852,黄浦  外滩中山南路100号  ,31.2295303345,121.507019043
1948,虹钦园,https://www.haozu.com/sh_xzl_3408/,6,227.7 - 765m²,徐汇  漕河泾钦州北路1089号  ,3.48,4.78,漕河泾,8.0,20000m²,3.5,1,上海技源科技有限公司,20000,徐汇  漕河泾钦州北路1089号  ,31.1847705841,121.41255188
1949,云堡互联图书馆,https://www.haozu.com/sh_xzl_39809/,2,16 - 66m²,松江  洞泾王家厍路885弄  ,1.4,1.74,洞泾,,,,,,,松江  洞泾王家厍路885弄  ,31.09856987,121.252792358
1950,base凯旋路,https://www.haozu.com/sh_xzl_25554/,9,254.8 - 529.9m²,徐汇  万体馆凯旋路2088号  ,6.83,5.67,万体馆,5.0,5300m²,2.95,2,,5300,徐汇  万体馆凯旋路2088号  ,31.1979084015,121.43057251
1951,亚洲商务楼2幢,https://www.haozu.com/sh_xzl_12282/,6,30 - 70m²,浦东  塘桥峨山路  ,4.17,6.81,塘桥,4.0,,,,,,浦东  塘桥峨山路  ,31.2207775116,121.532836914
1952,飞洲时代大厦,https://www.haozu.com/sh_xzl_3170/,4,94 - 106m²,普陀  光新中山北路1777号  ,4.87,6.68,光新,28.0,31617m²,4,3,招金期货、石库门企业管理、汰威装饰工程（上海）有限公司、上海罗根医疗科技有限公司，上海林展工贸发展有限公司，,31617,普陀  光新中山北路1777号  ,31.2637424469,121.398445129
1953,上服创意园,https://www.haozu.com/sh_xzl_10644/,6,35 - 238m²,长宁  天山路茅台路553号  ,5.23,4.88,天山路,7.0,5068m²,3.8,,,5068,长宁  天山路茅台路553号  ,31.2157268524,121.398529053
1954,嘉善老市,https://www.haozu.com/sh_xzl_27942/,1,160m²,卢湾  打浦桥陕西南路550弄37号  ,7.2,6.86,打浦桥,,,,,,,卢湾  打浦桥陕西南路550弄37号  ,31.2136936188,121.467247009
1955,宛轻大楼,https://www.haozu.com/sh_xzl_13111/,4,100 - 300m²,徐汇  万体馆宛平南路383弄  ,5.75,5.67,万体馆,9.0,11614m²,3.2,2,业名称：上海前和律师事务所，所属行业：专业服务/教育/培训、企业名称：上海市房地产估价师协会，所属行业：专业服务/教育/培训、企业名称：上海资顺化工科技有限公司，所属行业：能源/原材料、企业名称：上海大洋电子有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海知海办公设备商行，所属行业：贸易/消费/制造/营运,11614,徐汇  万体馆宛平南路383弄  ,31.1973209381,121.454246521
1956,众原国际中心,https://www.haozu.com/sh_xzl_21078/,39,70 - 244m²,浦东  外高桥日京路139号  ,2.2,2.96,外高桥,,,,,,,浦东  外高桥日京路139号  ,31.3483829498,121.604225159
1957,人才大厦,https://www.haozu.com/sh_xzl_19036/,1,138m²,卢湾  打浦桥斜土路500号  ,3.3,6.86,打浦桥,,30000m²,,,上海经营者人才公司,30000,卢湾  打浦桥斜土路500号  ,31.2090892792,121.483428955
