,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,store,mall,park,hotel,underground,park1500
1893,元福大厦,https://www.haozu.com/sh_xzl_13164/,1,108m²,徐汇  徐家汇虹桥路1882临  ,4.0,7.52,徐家汇,,41854m²,,4,,41854,6.0,1.0,6.0,4.0,1.0,3.0
1894,汇智大厦,https://www.haozu.com/sh_xzl_3262/,7,168 - 523m²,徐汇  徐家汇漕溪北路398号  ,6.47,7.52,徐家汇,27.0,38000m²,3.5,9,三星集团、上海南图信息科技有限公司、华仲荣工贸,38000,19.0,3.0,19.0,32.0,0.0,5.0
1895,树屏路580号,https://www.haozu.com/sh_xzl_32651/,1,140m²,嘉定  嘉定新城树屏路580号  ,1.5,2.07,嘉定新城,,,,,,,3.0,0.0,3.0,2.0,0.0,2.0
1896,新概念大厦,https://www.haozu.com/sh_xzl_5034/,6,45m²,徐汇  万体馆吴中路39号  ,4.5,5.67,万体馆,20.0,20500m²,3.7,4,优酷软件(上海)有限公司、上海成颜丰商贸有限公司、泰得利通软件科技有限公司、上海新世傲股份有限公司,20500,30.0,2.0,30.0,13.0,0.0,6.0
1897,锦绣坊,https://www.haozu.com/sh_xzl_18497/,1,226m²,浦东  联洋锦延路35号  ,10.0,8.67,联洋,2.0,19000m²,,,秦汉胡同（培训）、戴维营SPA、御味道（日式料理）、星巴克,19000,6.0,0.0,6.0,4.0,0.0,9.0
1898,氪空间,https://www.haozu.com/sh_xzl_41327/,27,null,闵行  虹桥甬虹路69号绿谷社区G栋4层  ,,,,,,,,,,6.0,2.0,6.0,2.0,2.0,5.0
1899,时美大厦,https://www.haozu.com/sh_xzl_5251/,5,186 - 900m²,静安  江宁路江宁路445号  ,4.03,8.86,江宁路,26.0,26025m²,3,3,上海市外经贸投资开发公司、香港易特时有限公司上海代表处,26025,23.0,3.0,23.0,24.0,0.0,4.0
1900,复兴商厦,https://www.haozu.com/sh_xzl_17082/,16,null,卢湾  其他瑞金一路139号  ,,,,7.0,68550m²,5.5,2,,68550,26.0,9.0,26.0,28.0,1.0,21.0
1901,上海普天信息产业园,https://www.haozu.com/sh_xzl_3059/,248,68 - 2700m²,徐汇  漕河泾宜山路700号  ,4.94,4.78,漕河泾,5.0,7800m²,2.5,2,上海派恩科技有限公司,7800,17.0,1.0,17.0,6.0,1.0,4.0
1902,同和汇大厦,https://www.haozu.com/sh_xzl_36418/,4,110 - 900m²,青浦  华新镇华腾路1118号  ,1.27,3.28,华新镇,,,,,,,0.0,0.0,,1.0,0.0,0.0
