,buildingN,store_num,store
20,汇京国际广场,28.0,"[全家便利店(虹桥路店)@(121.42679,31.201611), 上海市第二食品商店@(121.434796,31.204192), 全家便利店(中山西路店)@(121.426286,31.197968), 全家便利店(安顺路二店)@(121.432886,31.205493), 喜士多便利店(虹番门市)@(121.434426,31.19966), 罗森便利店(虹桥路店)@(121.427577,31.203088), 罗森便利店(番禺路店)@(121.434991,31.204202), 好德便利(凯旋店)@(121.429509,31.199571), 好德便利(淮西店)@(121.430958,31.204156), 顺大百货商店@(121.425369,31.198023), 良友金伴(中山西店)@(121.425592,31.197751), 良友@(121.425826,31.197598), 快客便利店(番虹店)@(121.434584,31.201396), 光明便利(凯旋店)@(121.428568,31.200726), 快客便利店@(121.434885,31.203781), 光明便利(NO:1151)@(121.432716,31.205584), 福宽·进口食品专卖@(121.431052,31.204213), 虹桥便利店@(121.43105,31.201462), 伊梨便利店@(121.424597,31.202386), 如意便利店@(121.42842,31.206719), 阿英便利店@(121.425987,31.198933), 上海市长宁区行兴综合商店@(121.425754,31.202306), 淮海便利店@(121.43154,31.204514), 上海顷顺商行便利店@(121.425852,31.20654), 林乐杂货店@(121.426175,31.201543), 虹桥综合商店@(121.431546,31.201341), 孙记便民店@(121.424832,31.198743), 昆仑好客@(121.430342,31.19838)]"
21,绿地汇中心,3.0,"[好德便利店@(121.46013,31.174695), 捷强烟酒专卖店@(121.461832,31.174686), 牛奶商城(丰谷路店)@(121.461083,31.174496)]"
22,现代广场,22.0,"[罗森便利店(东方维京店)@(121.405436,31.212179), 全家便利店(仙霞路三店)@(121.39941,31.211635), 全家便利店(茅台店)@(121.403379,31.215697), 全家便利店(古北路二店)@(121.406933,31.215867), 良友(NO.313)@(121.398259,31.207471), 可的便利店(NO.844)@(121.401763,31.213826), 好德便利（古北店）@(121.406447,31.215786), 迪亚天天no.9200@(121.402384,31.215405), 良友金伴(芙蓉江路店)@(121.400825,31.211693), 良友NO.338@(121.402723,31.2157), 利嘉宾馆-小卖部@(121.406385,31.212444), 良友NO.25@(121.406152,31.21575), 芙一食品店@(121.401782,31.214594), 新光明便利店@(121.400874,31.215772), 上海长宁山海商店@(121.398423,31.211684), 佳欣百货商店@(121.403007,31.215404), 敏敏杂货店@(121.400668,31.215792), 粮油平价店@(121.406159,31.21575), 红霞日用百货商店@(121.40562,31.215754), 上海市长宁区明煜食品店@(121.398235,31.212722), 尚优玛特(东方现代广场店)@(121.403927,31.212028), 上海钻美百货经营部@(121.398316,31.215724)]"
23,绿地海外滩中心A幢,19.0,"[快客便利店(no.5093)@(121.477023,31.196017), 全家便利店(嘉善路店)@(121.480866,31.201883), 好德便利店@(121.479189,31.19888), 迪亚天天(瞿溪店)@(121.477728,31.203902), 新一天便利店(打浦路店)@(121.480406,31.201475), 好德便利店@(121.480886,31.201321), 沙记杂货店@(121.473914,31.202988), 良友金伴便利店(瞿溪一店)@(121.479381,31.202885), 查查便利店@(121.482127,31.202333), 易捷便利店(龙华东路)@(121.480091,31.200148), 易捷便利店@(121.475867,31.201082), 紫藤花@(121.480019,31.199012), 徐汇区惠芬杂货店@(121.473838,31.203222), 哲晖便利店@(121.478394,31.201643), 新鑫便利店@(121.478093,31.201588), 徐杨烟杂店@(121.478786,31.201292), 双成便利@(121.48281,31.202499), 伟唯烟草便利店@(121.477091,31.203812), 徐汇区日二综合商店@(121.473238,31.19948)]"
24,虹桥天地,15.0,"[全家便利店(仙霞二店)@(121.412907,31.210831), 好德便利(紫云店)@(121.414952,31.212119), 全家便利店(金珠路)@(121.406799,31.203803), 全家便利店(延安店)@(121.406249,31.207152), 可的便利店(仲盛店)@(121.414793,31.210118), 佑一便利店@(121.413821,31.209581), NEWDAY新一天便利(遵义南路店)@(121.412547,31.210443), 罗森便利店(古北国际财富中心店)@(121.410147,31.203854), 小松鼠手机便利店@(121.414848,31.208211), 罗森便利店(国贸中心店)@(121.410168,31.208203), 易捷便利店@(121.415239,31.209029), 利嘉宾馆-小卖部@(121.406385,31.212444), 新虹桥中心花园便利店@(121.410051,31.206754), 罗森便利店(万都中心店)@(121.411499,31.210535), 小树便利店@(121.415346,31.206598)]"
25,中城国际大厦,20.0,"[全家便利店(乐山路)@(121.439094,31.2025), 正大优鲜便利店超市@(121.437681,31.198085), 喜士多便利店(虹番门市)@(121.434426,31.19966), 711便利店(城开店)@(121.438268,31.200121), 快客便利店(万顺店)@(121.439677,31.202561), 罗森便利店(徐虹北路店)@(121.433916,31.195947), 良友金伴便利店(徐虹北路)@(121.436866,31.199845), 豪脉便利@(121.437472,31.198797), 好德便利(南丹店)@(121.438631,31.195661), 好德便利(NO259店)@(121.436007,31.198487), 好德便利(乐山店)@(121.439746,31.202561), 快客便利店(番虹店)@(121.434584,31.201396), 罗森便利店(东方曼哈顿店)@(121.439906,31.197816), 711便利店(广元西路店)@(121.440593,31.202529), 快客便利店@(121.434885,31.203781), 上海市徐汇区沙路食品商店@(121.440563,31.202168), 光明便利店(NO.1027店)@(121.436135,31.195236), 虹桥便利店@(121.43105,31.201462), 盛旗便利店@(121.438699,31.201064), 虹桥综合商店@(121.431546,31.201341)]"
26,广发大厦,34.0,"[全家便利店(建国中路店)@(121.477925,31.216688), 全家便利店(日月光广场一店)@(121.475315,31.213117), 711便利店(永业店)@(121.483593,31.21401), 罗森便利店(思南路店)@(121.476811,31.215937), 全家便利店(斜徐路店)@(121.479013,31.212761), 全家便利店(丽园路店)@(121.483048,31.21271), 快客便利店(马当一店)@(121.482441,31.216141), 广州酒家(打浦路店)@(121.476511,31.210041), 迪亚天天便利店(NO.5118店)@(121.482788,31.213435), 喜士多便利店(大同店)@(121.4754,31.211082), 快客(淡水店)@(121.480704,31.217296), 好德便利(泰康路店)@(121.477232,31.214218), 好德便利(NO388店)@(121.484552,31.210748), 好德便利(思南店)@(121.4766,31.21584), 光明里@(121.484187,31.218324), 可的便利店@(121.48353,31.212935), 甜心烟杂店@(121.475967,31.215572), 快客便利店(no.6991)@(121.477865,31.214346), 快客便利店(no.5015)@(121.476958,31.212113), 翔翔杂货店@(121.479634,31.209512), 光明便利(徐家汇路)@(121.481896,31.214278), 上海老百货商店@(121.475177,31.21441), 上海市黄浦区丽园便利店@(121.482415,31.212621), 好友杂货店@(121.478948,31.209321), 丽园便利店@(121.478061,31.211618), 上海卢湾食品机械厂经营部@(121.481021,31.212425), 利是杂货店@(121.481978,31.212348), 国光经营部@(121.48119,31.211396), 民众食品杂货店@(121.482257,31.212392), 阿杜便民店@(121.478484,31.211737), 卢湾区汇龙杂货商店@(121.482245,31.213374), 老弄堂生活馆@(121.47489,31.213641), 宝岛食品（卢湾2店）@(121.47937,31.212517), 上膳源有机蔬菜(打浦店)@(121.47534,31.211061)]"
27,华闻国际大厦,22.0,"[全家便利店(安顺路店)@(121.420724,31.206377), 7-ELEVEN便利店(中山店)@(121.42182,31.204102), 全家便利店(宋园路站店)@(121.418318,31.202804), 快客(凯安店)@(121.425883,31.209215), 罗森便利店@(121.422558,31.207032), 光明里(安顺店)@(121.417497,31.206136), 良友金伴便利店(安顺路)@(121.421786,31.206517), 好德便利(安凯店)@(121.422721,31.206828), 良友金伴(虹桥一店)@(121.419691,31.20271), 全家@(121.422041,31.206641), 诗琪杂货店@(121.420067,31.201727), 伊梨便利店@(121.424597,31.202386), 盛达烟杂百货店@(121.424396,31.209979), 琅油平价店@(121.422896,31.207136), 邮航小区-小张冷饮批发@(121.418577,31.203624), 良友金伴(虹桥新村店)@(121.418173,31.203881), 上海市长宁区行兴综合商店@(121.425754,31.202306), 上海顷顺商行便利店@(121.425852,31.20654), 龙飞日夜商店@(121.416867,31.203837), 小树便利店@(121.415346,31.206598), 常顺综合商店@(121.423963,31.205479), 全家康健@(121.418337,31.203567)]"
28,上置金融大厦,40.0,"[全家便利店(no.3)@(121.477479,31.207412), 全家便利店(日月光广场一店)@(121.475315,31.213117), 全家便利店(日月光广场二店)@(121.473351,31.213207), 全家便利店(斜徐路店)@(121.479013,31.212761), 罗森便利店(斜土路店)@(121.476371,31.207532), 全家便利店(鲁班路店)@(121.482212,31.208474), 广州酒家(打浦路店)@(121.476511,31.210041), 喜士多便利店(大同店)@(121.4754,31.211082), 全家便利店(五里桥小区北)@(121.482406,31.205994), 好德便利(泰康路店)@(121.477232,31.214218), 迪亚天天(建国西路店)@(121.472177,31.214233), 好德便利(鲁班店)@(121.48236,31.208081), 好德便利(斜浦店)@(121.478833,31.208126), 光明里便利店@(121.478173,31.205794), 快客便利店(no.6991)@(121.477865,31.214346), 易捷便利店(打浦店)@(121.477586,31.208755), 快客便利店(no.5015)@(121.476958,31.212113), 翔翔杂货店@(121.479634,31.209512), 光明便利(徐家汇路)@(121.481896,31.214278), 上海老百货商店@(121.475177,31.21441), 快客便利店(浦光店)@(121.473497,31.211356), 杭州佬休闲食品(世纪联华店)@(121.480416,31.208864), 上海市黄浦区丽园便利店@(121.482415,31.212621), 好友杂货店@(121.478948,31.209321), 丽园便利店@(121.478061,31.211618), 叶盛烟杂店@(121.482371,31.206124), 上海卢湾食品机械厂经营部@(121.481021,31.212425), 利是杂货店@(121.481978,31.212348), 国光经营部@(121.48119,31.211396), 民众食品杂货店@(121.482257,31.212392), 江振食品店@(121.48083,31.205525), 阿杜便民店@(121.478484,31.211737), 稳佳烟杂店@(121.477656,31.205841), 卢湾区汇龙杂货商店@(121.482245,31.213374), 老弄堂生活馆@(121.47489,31.213641), 毛巾世界@(121.473097,31.214343), 聚园百货商行@(121.477542,31.206949), 旺巴馒头店@(121.473228,31.213273), 宝岛食品（卢湾2店）@(121.47937,31.212517), 上膳源有机蔬菜(打浦店)@(121.47534,31.211061)]"
29,香港名都写字楼,38.0,"[全家便利@(121.498689,31.230465), 好德便利(三牌店)@(121.498854,31.228191), 快客便利店(文河店)@(121.497559,31.225087), 良友(方浜中路店)@(121.492168,31.228286), 绿叶大生活@(121.501232,31.22876), 喜士多便利店(金豫店)@(121.498651,31.230754), 迪亚天天便利店(NO.50店)@(121.501187,31.23003), 上海五香豆商店@(121.498346,31.232048), 快客建德店@(121.498874,31.228004), 光明便利(NO.141店)@(121.492807,31.228702), 马园街壹号冷饮批发店@(121.500965,31.231949), 海平百货@(121.500889,31.230613), 昌盛便利店(凝和路)@(121.500353,31.223957), 欣怡便利店@(121.494342,31.226998), 盛记南北货商店@(121.501386,31.223494), 山亮百货经营部@(121.499734,31.229868), 老城隍庙食品商店@(121.498043,31.232185), 丰收日食品商店@(121.495624,31.227583), 晨晨杂货商店@(121.501727,31.230093), 花梦烟杂店@(121.494571,31.22479), 飞燕便利@(121.499045,31.229308), 巍巍综合商店@(121.494941,31.224225), 福华泰e易购超便利@(121.492642,31.224811), 华新烟杂商店@(121.496296,31.226017), 金荣百货店@(121.492739,31.227546), 古城香业批发兼零售@(121.494992,31.224279), 鼎兴杂货店@(121.491547,31.22793), 便利店@(121.501306,31.231542), 天政便利@(121.493571,31.226357), 芳桥杂货店@(121.493931,31.226581), 昌盛美芳便利店@(121.50121,31.225867), 广福便民店@(121.495548,31.230034), 美文杂货店@(121.49161,31.227871), 望云粮油食品店@(121.499482,31.225783), 坤龙烟杂店@(121.500109,31.230275), 四通便利店@(121.499037,31.228569), 鸿达食品店NO.749@(121.500597,31.229018), 天美杂货店@(121.500443,31.228277)]"
