,name,hotel,hospital,mall,park1500,store,underground,rent
118,海洋石油大厦,79.0,18.0,1.0,7.0,25.0,1.0,3.55
119,江苏路老洋房,83.0,16.0,2.0,9.0,33.0,0.0,4.0
120,文景楼,4.0,1.0,2.0,1.0,2.0,0.0,3.04
121,经纬国际大厦,37.0,0.0,1.0,4.0,31.0,2.0,5.0
122,长城大厦,34.0,2.0,0.0,6.0,30.0,5.0,5.78
123,X2创意空间,52.0,0.0,4.0,4.0,22.0,1.0,4.06
124,国盛中心,0.0,0.0,1.0,0.0,6.0,0.0,3.85
125,平高国际广场,65.0,7.0,5.0,4.0,22.0,1.0,5.07
126,惠扬大厦,2.0,0.0,0.0,12.0,12.0,0.0,4.36
127,安利大楼,115.0,17.0,16.0,10.0,50.0,1.0,7.24
128,曙光大厦,49.0,7.0,21.0,17.0,40.0,3.0,4.31
129,白金湾广场,43.0,0.0,2.0,0.0,20.0,1.0,0.03
130,新利商务中心,62.0,9.0,0.0,4.0,21.0,2.0,2.23
131,申华金融大厦,141.0,5.0,18.0,11.0,53.0,1.0,6.08
132,彩生活时代广场,10.0,2.0,2.0,2.0,9.0,0.0,2.84
133,中土大厦,0.0,8.0,3.0,2.0,45.0,1.0,3.38
134,机场城市航站楼,99.0,4.0,15.0,0.0,31.0,1.0,5.07
135,中西大厦,63.0,10.0,5.0,3.0,26.0,2.0,4.56
136,上海湾鄂尔多斯大厦,73.0,0.0,9.0,1.0,26.0,1.0,6.08
137,曹杨尚城国际,41.0,2.0,7.0,6.0,40.0,3.0,3.48
138,文洋大厦,4.0,0.0,3.0,1.0,11.0,0.0,4.06
139,新概念大厦,17.0,8.0,2.0,3.0,19.0,0.0,3.38
140,协通大厦,9.0,0.0,0.0,0.0,3.0,0.0,1.72
141,万科七宝国际,9.0,0.0,1.0,2.0,3.0,2.0,3.55
142,北外滩白玉兰广场,38.0,3.0,4.0,14.0,48.0,1.0,8.11
143,航天大厦(南楼),34.0,11.0,2.0,4.0,17.0,1.0,3.04
144,E仓创意园区（二期）,63.0,2.0,2.0,5.0,21.0,1.0,3.85
145,谷泰滨江大厦,7.0,5.0,0.0,2.0,6.0,0.0,3.04
146,友力国际大厦,57.0,7.0,0.0,4.0,26.0,1.0,5.37
147,大宁音乐广场,9.0,0.0,2.0,5.0,5.0,0.0,4.56
148,建国商务中心,75.0,4.0,9.0,7.0,30.0,3.0,8.78
149,景源时尚产业园,43.0,1.0,2.0,6.0,25.0,0.0,3.65
150,张江润和国际总部园,1.0,0.0,0.0,1.0,1.0,0.0,4.06
151,中环商务大厦,54.0,6.0,3.0,7.0,36.0,1.0,3.55
152,世纪汇广场,53.0,6.0,2.0,5.0,21.0,1.0,10.97
153,歆翱智慧谷,6.0,2.0,1.0,6.0,8.0,1.0,1.83
154,巨丰国际商务广场,13.0,0.0,3.0,4.0,7.0,0.0,3.55
155,盛大天地青春里2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85
156,华庆办公楼,107.0,29.0,3.0,0.0,33.0,0.0,3.65
157,中联大厦,38.0,2.0,5.0,6.0,38.0,3.0,2.64
158,衡谷1976园区,1.0,0.0,0.0,0.0,0.0,0.0,3.55
159,会德丰国际广场,95.0,19.0,11.0,6.0,28.0,1.0,10.35
160,虹桥晶座,17.0,2.0,8.0,1.0,15.0,1.0,4.06
161,中达广场,37.0,1.0,0.0,4.0,32.0,2.0,5.07
162,龙湖郦城MOCO国际,18.0,11.0,0.0,9.0,24.0,0.0,2.53
163,万得中心,1.0,0.0,0.0,0.0,0.0,0.0,7.1
164,百丽国际广场,20.0,5.0,3.0,4.0,13.0,0.0,5.27
165,阿里中心,22.0,2.0,2.0,3.0,11.0,0.0,4.56
166,医谷・现代商务园,10.0,0.0,2.0,0.0,5.0,0.0,2.23
167,浦发财富广场,41.0,2.0,1.0,4.0,17.0,1.0,3.04
168,三九大厦,22.0,5.0,10.0,1.0,27.0,1.0,5.61
169,外滩金融中心,24.0,4.0,13.0,9.0,37.0,0.0,9.13
170,宏慧视界BOX,0.0,7.0,0.0,2.0,21.0,1.0,3.85
171,之俊大厦主楼,61.0,0.0,2.0,4.0,19.0,1.0,3.4
172,健康智谷,17.0,0.0,1.0,3.0,15.0,0.0,3.04
173,天科国际大厦,25.0,13.0,0.0,2.0,43.0,0.0,1.94
174,顶禾商务广场,12.0,21.0,1.0,8.0,35.0,0.0,5.07
175,中房华东大厦,62.0,1.0,2.0,5.0,32.0,0.0,2.84
176,虹桥丽宝广场,0.0,0.0,3.0,0.0,5.0,0.0,6.59
177,禹洲金桥国际二期,27.0,0.0,1.0,1.0,7.0,0.0,1.75
178,创新大楼,4.0,2.0,0.0,3.0,8.0,1.0,3.55
179,虹口图书馆写字楼,22.0,5.0,10.0,1.0,27.0,1.0,3.02
180,金大地商务楼,17.0,4.0,4.0,7.0,29.0,2.0,3.24
181,悦达889中心,55.0,4.0,8.0,3.0,23.0,3.0,6.94
