,name,link,rent,floors,surface,floor_height,elevator,companys
91,桂果园,https://www.haozu.com/sh_xzl_25495/,3.57,6,58800,3,2,三立精密电子有限公司，奥豪斯仪器（上海），上海市社会保障卡服务中心，中科磁记录有限公司
92,M50桃浦创意园,https://www.haozu.com/sh_xzl_3250/,3.58,3,23000,6,1,
93,云海苑办公楼,https://www.haozu.com/sh_xzl_11363/,5.9,29,7186,3.5,3,上海怡运国际货物运输代理有限公司，闻视企业形象策划有限公司，普玛商务咨询有限公司，
94,漕河泾产业园,https://www.haozu.com/sh_xzl_19501/,4.37,,,,4,上海创丞文化传播有限公司
95,禹州·金桥国际,https://www.haozu.com/sh_xzl_4478/,2.36,19,200000,5.6,4,上海博艺装饰工程有限公司
96,百丽国际广场,https://www.haozu.com/sh_xzl_12853/,6.4,18,45751,3.9,7,
97,新桥大厦,https://www.haozu.com/sh_xzl_4350/,4.06,18,19000,3,3,上海德星汽车销售有限公司、上海千路投资管理有限公司、上海润沁商贸有限公司、上海豪嘉会务有限公司
98,中油大厦,https://www.haozu.com/sh_xzl_1357/,7,,,,,
99,城汇大厦,https://www.haozu.com/sh_xzl_2787/,8.62,19,31039,3.7,6,哈雷·戴维森
100,上海交科松江科创园,https://www.haozu.com/sh_xzl_23233/,1.9,,,3.6,2,
101,兆丰广场,https://www.haozu.com/sh_xzl_3122/,7.3,42,59329,3.8,9,企业名称：圣诺信息，所属行业：计算机/互联网/通信/电子、企业名称：腾达智能天沪信息科技，所属行业：计算机/互联网/通信/电子、企业名称：凤凰卫视，所属行业：广告/媒体、企业名称：埃森哲上海，所属行业：贸易/消费/制造/营运、企业名称：上海博加广告有限公司，所属行业：广告/媒体、企业名称：上海邮电设计院有限公司，所属行业：房地产/建筑、企业名称：上海博加广告有限公司，所属行业：广告/媒体、企业名称：新人杰咨询（上海）有限公司，所属行业：专业服务/教育/培训
102,疏影创意园,https://www.haozu.com/sh_xzl_36818/,1.5,,,,,
103,安泰大楼,https://www.haozu.com/sh_xzl_2474/,6.09,22,32627,4,6,企业名称：美国环球金属制品有限公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：椿本链条贸易(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：法国冠美国际有限公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：日本株式会社三洋上海代表处，所属行业：贸易/消费/制造/营运、企业名称：加拿大斯马特技术（中国）公司，所属行业：计算机/互联网/通信/电子
104,上海电信实业大楼,https://www.haozu.com/sh_xzl_10645/,3.4,,,4.2,2,
105,莲谷产业园,https://www.haozu.com/sh_xzl_1656/,2.35,12,48000,3.6,2,
106,汇映中心,https://www.haozu.com/sh_xzl_25821/,4.5,,,,,
107,云海大厦,https://www.haozu.com/sh_xzl_3104/,6.48,24,26586,3.5,4,上海华普电缆有限公司、马来西亚德尼布远东私营有限公司上海代表处、上海天灵电器设备制造有限公司、德希尼布天辰化学工程(天津)有限公司上海办事、通海建设有限公司
108,北虹桥体育公园,https://www.haozu.com/sh_xzl_38968/,2.34,,,,,
109,中盈科技园,https://www.haozu.com/sh_xzl_20017/,1.63,4,50000,3.5,,
110,越秀大厦,https://www.haozu.com/sh_xzl_5141/,9.59,28,62139,3.4,8,"西南证券，埃尔斯特计量仪表上海有限公司,连云港市徐新区上海招商展示中心"
111,亚龙国际大厦,https://www.haozu.com/sh_xzl_12281/,4.2,16,21690,3.5,3,舒仕纤体运动(南丹东路店)
112,新虹桥商厦,https://www.haozu.com/sh_xzl_2605/,6,23,27000,3.3,4,国际贸易公司上海办事处
113,光大会展中心,https://www.haozu.com/sh_xzl_3213/,3.94,30,240000,2.5,6,光大银行、银利电子、禹川实业发展、正龙国际贸易、正伟数字技术
114,丽空间小木桥创意产业园,https://www.haozu.com/sh_xzl_40767/,5.26,,,,,
115,东方慧谷,https://www.haozu.com/sh_xzl_4453/,2,10,500000,5,2,
116,中环-汇智1400,https://www.haozu.com/sh_xzl_33541/,3.58,,,,,
117,上海数娱大厦,https://www.haozu.com/sh_xzl_13080/,5,12,21500,4,2,红摩炫数码科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：水木年华科教咨询有限公司，所属行业：专业服务/教育/培训、企业名称：裕群投资咨询有限公司，所属行业：专业服务/教育/培训、企业名称：非思智能科技股份有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海星岸音乐文化传播有限公司，所属行业：广告/媒体
118,陆家嘴金控广场,https://www.haozu.com/sh_xzl_36844/,11.8,,,,,
119,体汇+,https://www.haozu.com/sh_xzl_35647/,4.67,,,,,
120,金嘉商务广场,https://www.haozu.com/sh_xzl_2510/,1.59,16,73028,3.6,6,
121,森林湾大厦,https://www.haozu.com/sh_xzl_10923/,4.3,23,58000,4,3（B栋）、6（C栋,天津市嘉达货运代理有限公司上海代表处、上海捷喜国际货物运输代理有限公司
122,嘉利大厦,https://www.haozu.com/sh_xzl_2829/,3.08,35,10000,3.6,4,企业名称：澄星磷化工，所属行业：能源/原材料、企业名称：台湾象王，所属行业：贸易/消费/制造/营运、企业名称：上海森军实业发展有限公司，所属行业：贸易/消费/制造/营运、企业名称：中纺物产发展有限公司贸易部，所属行业：贸易/消费/制造/营运、企业名称：纺通物流发展有限公司，所属行业：物流/运输
