,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,floors_hz,surface_hz,floor_height_hz
671,申报馆,3,,,8.5,152.0,15.0,25.0,12.0,86.0,1.0,7,6.0,3680.0,2.4
672,光启园,2,9.0,19.0,4.26,4.0,2.0,0.0,1.0,8.0,0.0,5,21.0,32785.0,4.0
673,长宁科技大楼,2,23.0,7.0,2.55,28.0,4.0,5.0,9.0,29.0,0.0,6,7.0,15000.0,3.3
674,创客邦,3,6.0,6.0,2.6,19.0,2.0,3.0,0.0,26.0,1.0,6,,,
675,港泰广场,3,19.0,27.0,6.26,133.0,11.0,17.0,20.0,60.0,2.0,7,27.0,48391.0,3.6
676,98创意园,2,8.0,6.0,6.0,20.0,10.0,5.0,5.0,39.0,0.0,6,6.0,14000.0,4.7
677,上海海湾大厦,2,19.0,32.0,4.6,63.0,4.0,3.0,10.0,47.0,0.0,6,32.0,43957.0,3.8
678,H88越虹广场,3,,,6.56,4.0,2.0,1.0,4.0,10.0,0.0,6,19.0,56432.0,3.0
679,燎申宜山大厦,3,13.0,10.0,3.4,5.0,1.0,0.0,2.0,3.0,2.0,6,10.0,11800.0,3.3
680,强劲大厦,3,,,4.94,3.0,2.0,2.0,3.0,0.0,1.0,6,17.0,31040.57,6.0
681,中国石化大厦,2,19.0,29.0,2.65,5.0,1.0,0.0,3.0,6.0,0.0,5,29.0,30000.0,3.0
682,虹口SOHO,3,,,7.46,25.0,3.0,4.0,14.0,48.0,1.0,7,26.0,95000.0,3.5
683,腾飞大厦,3,14.0,30.0,7.93,73.0,2.0,2.0,0.0,22.0,1.0,6,30.0,59000.0,3.5
684,长青企业广场,3,,,3.86,10.0,0.0,1.0,3.0,4.0,2.0,6,3.0,38000.0,3.0
685,环线广场,2,21.0,29.0,3.5,17.0,9.0,4.0,4.0,17.0,0.0,6,29.0,20000.0,3.3
686,创邑金沙谷,2,10.0,4.0,5.4,10.0,1.0,4.0,4.0,16.0,1.0,7,4.0,23000.0,4.5
687,隆宇大厦,2,14.0,27.0,6.07,50.0,3.0,12.0,4.0,20.0,2.0,7,,31533.0,3.0
688,永谊大厦,3,3.0,16.0,3.07,2.0,0.0,2.0,2.0,4.0,1.0,6,16.0,23711.0,3.75
689,博华广场,3,1.0,60.0,12.5,102.0,4.0,19.0,20.0,40.0,2.0,7,,,
690,嘉杰国际广场,3,9.0,27.0,6.53,10.0,9.0,12.0,5.0,50.0,1.0,7,27.0,103000.0,3.3
691,时代金融中心,3,11.0,51.0,13.37,9.0,0.0,0.0,6.0,15.0,1.0,5,48.0,111038.0,3.0
692,虹桥万科中心,3,,,7.91,0.0,0.0,1.0,0.0,9.0,0.0,3,,123000.0,
693,歆翱文化创意园,2,2.0,3.0,2.25,6.0,1.0,2.0,0.0,12.0,0.0,5,3.0,7500.0,3.5
694,漕河泾软件大厦,2,15.0,17.0,3.53,13.0,2.0,0.0,1.0,7.0,0.0,5,,27000.0,3.2
695,上海五四大楼,2,37.0,6.0,2.25,12.0,3.0,0.0,7.0,16.0,0.0,5,,,
696,上海数字产业园,3,,,5.44,8.0,0.0,0.0,2.0,11.0,1.0,5,10.0,70507.0,2.8
697,中新传媒大厦,3,2.0,15.0,4.0,21.0,0.0,1.0,0.0,7.0,0.0,4,19.0,51632.19,3.9
698,泛太平洋大厦,2,11.0,18.0,5.5,92.0,25.0,14.0,9.0,35.0,0.0,6,18.0,9146.0,3.0
699,汇亚大厦,3,13.0,37.0,13.25,1.0,0.0,2.0,6.0,14.0,1.0,6,37.0,78870.0,4.5
